land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
AT,SI,71,19,51,1,0.268,-289,1395.1,-1610.0,9.0
BE,NO,201,54,146,1,0.269,-148,538.1,-254.0,25.5
CZ,SI,26,7,19,0,0.269,-178.5,1315.2,-1278.5,79.2
CZ,GR,26,19,7,0,0.731,72.5,169.5,-7.8,215.0
CZ,RO,52,14,38,0,0.269,-108.5,883.0,-652.0,41.8
BE,IT,226,61,165,0,0.27,-236.5,717.0,-893.0,9.0
NO,SA,48,13,35,0,0.271,-758.5,849.4,-1517.0,12.2
SI,SK,180,49,131,0,0.272,-655.0,1620.3,-1652.8,98.2
DE,HU,110,30,79,1,0.273,-511.0,1655.5,-2383.5,52.0
EE,GB,11,3,8,0,0.273,-188,722.2,-1463.0,50.0
BE,HR,80,22,58,0,0.275,-151.0,647.5,-640.0,41.5
DK,RO,51,14,37,0,0.275,-268,906.5,-1031.0,62.0
GR,IE,46,13,33,0,0.283,-105.5,308.7,-232.0,15.0
ES,RO,197,56,141,0,0.284,-176,1153.8,-1051.5,53.5
HR,HU,105,30,75,0,0.286,-489,1645.3,-1969.0,21.0
AT,GB,21,6,15,0,0.286,-189,735.0,-545.5,26.5
RO,SK,233,67,166,0,0.288,-938,1264.4,-1622.0,128.0
AU,RO,166,48,118,0,0.289,-238.0,1143.6,-968.2,33.0
BE,US,69,20,49,0,0.29,-150,1296.5,-1014.5,52.5
HU,JP,192,136,56,0,0.708,624.5,1621.6,-62.2,2509.0
IT,SA,58,17,41,0,0.293,-424.5,977.1,-1208.5,115.2
ES,IT,334,98,234,2,0.293,-194.5,865.6,-773.2,52.5
DE,IT,133,39,94,0,0.293,-204,805.7,-976.5,57.0
NO,RO,194,57,137,0,0.294,-281.5,949.9,-869.5,46.2
FR,HU,68,20,48,0,0.294,-608.5,1579.7,-2095.8,56.0
IT,SE,262,185,77,0,0.706,240.0,710.8,-51.5,689.0
CZ,HU,71,21,50,0,0.296,-475,1467.4,-1854.0,25.0
RO,SA,37,11,26,0,0.297,-581,1191.2,-1251.5,104.0
AU,GR,74,52,22,0,0.703,75.5,615.4,-26.2,275.2
LV,US,87,61,26,0,0.701,1115,1613.7,-106.0,2386.0
IE,RO,110,33,77,0,0.3,-264.5,1018.7,-1158.8,59.8
EE,GR,20,14,6,0,0.7,91.0,368.9,-28.8,274.5
AT,GR,53,37,16,0,0.698,70,473.9,-26.5,219.5
ES,US,92,28,64,0,0.304,-145.5,1131.2,-755.5,91.8
SK,US,101,70,31,0,0.693,965,1290.5,-107.0,1933.5
AT,JP,117,36,81,0,0.308,-334,680.9,-623.5,52.5
DK,IT,78,24,54,0,0.308,-201.5,750.1,-787.8,65.0
DE,SA,26,8,18,0,0.308,-444.5,982.0,-1310.2,298.5
AU,IT,280,88,192,0,0.314,-221.0,852.6,-745.0,75.2
DK,SI,35,11,24,0,0.314,-556,1221.5,-1327.0,122.0
RO,SE,165,113,52,0,0.685,177,983.0,-115.0,847.0
LV,SI,110,75,35,0,0.682,765.0,1661.4,-347.0,2118.0
AT,HR,69,22,47,0,0.319,-189,695.4,-616.0,53.5
DK,US,25,8,17,0,0.32,-375,1207.9,-1435.0,51.5
EE,SI,25,8,17,0,0.32,-224,1619.2,-1493.5,69.0
AU,US,112,36,76,0,0.321,-127.5,1312.7,-1126.2,68.8
FI,FR,59,19,40,0,0.322,-82,534.5,-424.0,80.0
JP,SE,164,111,53,0,0.677,223.5,481.3,-62.8,596.0
AU,JP,185,60,125,0,0.324,-252,831.1,-715.0,104.5
GR,HR,40,13,27,0,0.325,-129.0,697.4,-496.0,26.2
DE,FI,95,64,28,3,0.674,68,476.6,-50.0,329.0
AT,US,46,15,31,0,0.326,-210.0,1522.0,-1550.0,67.8
EE,IT,55,18,37,0,0.327,-217,861.2,-745.0,148.0
ES,GR,76,51,25,0,0.671,99.5,425.7,-30.5,297.2
ES,SI,115,38,77,0,0.33,-245,1377.5,-1250.0,51.0
HU,IS,267,178,88,1,0.667,534,1706.5,-212.0,2377.0
SA,US,27,18,9,0,0.667,246,1494.1,-949.0,1043.0
FR,IT,90,30,60,0,0.333,-230.5,808.1,-810.0,100.8
ES,JP,200,67,133,0,0.335,-224.5,685.0,-519.5,76.8
IE,NO,143,48,94,1,0.336,-94,506.4,-242.0,67.0
AU,HR,95,32,63,0,0.337,-87,932.2,-727.0,105.0
BE,GR,74,49,25,0,0.662,45.5,537.3,-45.2,281.5
NO,US,91,31,60,0,0.341,-66,1195.6,-1122.0,86.0
JP,NO,187,123,64,0,0.658,179,480.1,-143.0,525.0
FR,IS,76,26,50,0,0.342,-155.5,686.2,-496.2,82.8
SE,US,87,30,57,0,0.345,-199,1397.4,-1663.0,47.0
EE,HR,26,9,17,0,0.346,-94.0,843.1,-1021.2,169.5
BE,EE,43,15,28,0,0.349,-110,645.8,-336.0,96.0
IE,JP,103,36,67,0,0.35,-275,493.2,-619.0,62.0
DE,RO,80,28,52,0,0.35,-232.0,1128.5,-1550.0,136.0
AU,NO,222,78,142,2,0.351,-71.0,534.5,-265.8,88.8
AU,GB,31,11,20,0,0.355,-270,661.7,-539.0,141.0
DK,FR,31,11,20,0,0.355,-122,488.8,-443.0,77.0
LV,SA,31,20,11,0,0.645,691,1372.4,-589.0,1532.0
FR,US,42,15,27,0,0.357,-143.5,1320.4,-2009.2,82.0
CZ,JP,56,20,36,0,0.357,-221.0,427.1,-573.5,95.0
SA,SI,28,18,10,0,0.643,324.5,1552.6,-1093.5,997.2
ES,NO,240,86,154,0,0.358,-95.5,639.1,-237.5,123.8
AU,MY,39,25,14,0,0.641,151,717.5,-70.0,524.0
BE,GB,25,9,16,0,0.36,-238,725.1,-854.0,62.0
CA,ES,11,7,4,0,0.636,28,639.3,-37.0,248.0
NO,SI,126,46,79,1,0.365,-226.5,1347.2,-1200.5,112.0
HU,RO,191,121,70,0,0.634,345,1710.1,-405.0,1459.0
HU,SI,155,98,55,2,0.632,476,1990.8,-537.0,2150.0
MY,SE,38,14,24,0,0.368,-235.5,381.5,-667.8,32.8
CZ,NO,54,20,34,0,0.37,-134.5,401.5,-317.5,41.0
DE,DK,43,27,16,0,0.628,70,476.6,-84.0,257.0
NO,SE,273,171,91,11,0.626,89,464.8,-117.0,231.5
IT,NO,304,190,113,1,0.625,130.0,797.9,-149.0,682.5
GB,IE,24,15,9,0,0.625,257.0,712.3,-111.5,792.2
EE,NO,48,18,30,0,0.375,-116.5,463.2,-230.5,125.2
DK,NO,93,35,57,1,0.376,-63,491.1,-270.0,80.0
HR,IS,106,40,66,0,0.377,-143.0,1164.3,-571.0,444.8
GB,IS,37,14,23,0,0.378,-147,624.1,-329.5,249.0
AT,MY,29,11,18,0,0.379,-51,227.8,-139.0,164.5
FR,NO,79,30,49,0,0.38,-55,576.4,-231.0,118.0
HU,IT,278,172,105,1,0.619,366.0,1604.5,-244.8,2007.0
SA,SK,55,21,34,0,0.382,-432,991.4,-1320.0,162.0
HR,SE,94,58,36,0,0.617,124.0,791.0,-161.8,672.2
BE,ES,179,69,110,0,0.385,-49,597.8,-179.0,135.0
JP,SI,96,37,58,1,0.385,-210.0,1542.9,-1027.0,308.0
EE,RO,39,15,24,0,0.385,-26,889.6,-656.0,115.0
HR,NO,96,59,37,0,0.615,84.0,591.3,-163.2,492.0
FR,IE,39,24,15,0,0.615,43,614.7,-103.0,333.0
CZ,FR,26,10,16,0,0.385,-17.0,294.2,-250.5,91.5
DE,US,44,17,27,0,0.386,-125.0,1262.2,-1255.2,115.2
HU,US,85,52,33,0,0.612,243,1977.3,-260.0,2117.0
IS,US,108,66,41,1,0.611,163.0,1523.0,-720.2,499.5
EE,JP,41,16,25,0,0.39,-166,472.0,-453.0,174.0
CZ,ES,59,23,36,0,0.39,-44,476.0,-217.0,60.0
HR,IE,64,39,25,0,0.609,83.0,775.3,-142.0,808.0
AT,FR,51,20,31,0,0.392,-36,896.3,-241.0,109.0
AT,ES,140,55,85,0,0.393,-51.5,534.2,-214.0,86.0
ES,HR,112,44,68,0,0.393,-102.5,751.2,-572.8,148.0
CZ,DE,33,13,20,0,0.394,-77,555.6,-295.0,134.5
DK,ES,60,24,36,0,0.4,-73.0,582.2,-394.0,183.0
AU,BE,175,105,70,0,0.6,51,599.4,-129.0,183.0
BE,DE,90,36,53,1,0.4,-82.5,657.2,-361.0,97.5
CZ,IE,35,14,21,0,0.4,-37,361.8,-232.0,155.0
IE,MY,20,12,8,0,0.6,148.5,478.4,-194.2,436.0
HR,RO,97,39,58,0,0.402,-116,1122.3,-651.0,321.5
RO,US,77,46,31,0,0.597,184,1534.4,-276.0,731.0
IE,SE,119,48,70,1,0.403,-40,442.2,-315.0,97.0
DE,SI,52,21,28,3,0.404,-80.0,1773.7,-1599.5,237.5
ES,IE,138,82,56,0,0.594,43.0,623.8,-87.5,209.2
FI,SE,239,97,131,11,0.406,-17,383.8,-226.0,75.0
ES,MY,32,19,12,1,0.594,99.5,439.5,-45.0,422.0
DE,NO,120,49,69,2,0.408,-32.5,529.6,-224.0,159.5
EE,SE,44,26,18,0,0.591,34.5,481.4,-103.8,176.8
HR,US,39,16,23,0,0.41,-151,1419.1,-1183.0,440.0
FR,RO,61,25,36,0,0.41,-60,968.6,-826.0,196.0
GB,HR,17,7,10,0,0.412,-110,1209.0,-950.5,361.0
FR,MY,17,10,7,0,0.588,63,433.5,-58.5,397.5
DE,HR,46,19,27,0,0.413,-77.0,723.9,-518.8,126.2
HR,JP,87,51,36,0,0.586,165,750.6,-358.0,613.0
