country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,notes,scraped_at,atc_code,prk
SA,Saudi Arabia,SFDA,,"CALCIUM CHLORIDE DIHYDRATE,REFINED OLIVE OIL (~80%) + REFINED SOYA OIL (~20%),ARGININE,PHENYLALANINE,ISOLEUCINE5,HISTIDINE,GLUCOSE,GLUTAMIC ACID,LEUCINE,CYSTEINE,ASPARTIC ACID,TRYPTOPHAN,ALANINE,ORNITHINE,PROLINE,GLYCINE,SERINE,SODIUM CHLORIDE,TAURINE,SODIUM GLYCEROPHOSPHATE HYDRATED,METHIONINE,POTASSIUM ACETATE,MAGNESIUM ACETATE TETRAHYDRATE,VALINE,THREONINE,LYSINE,TYROSINE",,,,,,shortage,غير متوفر,2026-09-23T21:00:26.625969,,
SA,Saudi Arabia,SFDA,,CALCIUM DOBESILATE MONOHYDRATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.625997,C05BX01,
SA,Saudi Arabia,SFDA,,CALCIUM FOLINATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626008,V03AF03,
SA,Saudi Arabia,SFDA,,CALCIUM GLUBIONATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626018,A12AA02,
SA,Saudi Arabia,SFDA,,CALCIUM GLUCONATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626028,A12AA03,
SA,Saudi Arabia,SFDA,,"CALCIUM LACTATE GLUCONATE,CALCIUM CARBONATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626039,,
SA,Saudi Arabia,SFDA,,CANDESARTAN CILEXETIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626048,C09CA06,
SA,Saudi Arabia,SFDA,,"CANDESARTAN CILEXETIL,AMLODIPINE BESILATE,HYDROCHLOROTHIAZIDE",,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626058,,
SA,Saudi Arabia,SFDA,,"CANDESARTAN CILEXETIL,HYDROCHLOROTHIAZIDE",,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626068,,
SA,Saudi Arabia,SFDA,,"CANDESARTAN CILEXETIL,HYDROCHLOROTHIAZIDE",,,,,,shortage,غير متوفر,2026-09-23T21:00:26.626078,,
SA,Saudi Arabia,SFDA,,Capecitabine,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978549,L01BC06,
