country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,registration_number,atc_code,company_name,manufacturer,disruption_type,status,reason,shortage_start,estimated_end,mitigation_prh,mitigation_npra,alternatives,scraped_at,prk
MY,Malaysia,NPRA,Zeteze-SM Tablets 10+20mg,Ezetemibe / Simvastatin,10mg / 20mg,,Tablet,MAL19056027AZ,C10BA02,Ranbaxy (Malaysia) Sdn Bhd,"Sun Pharmaceutical Industries Limited, India",Shortage,Current,Manufacturing Issues,2026-01-09,,,Pending,,2026-07-10T10:59:44.205660,77038
MY,Malaysia,NPRA,Risperdal Consta 25mg,Risperidone,25mg,,Granules/ Powder,MAL20041156AZ,N05AX08,Johnson & Johnson Sdn. Bhd.,"Cilag AG Hochstarsse 201, 
CH-8205 Schaffhausen, Switzerland 
",Discontinuation,Current,Commercial's decision,2026-04-07,,There are other alternatives available,Registered alternative products are available,Risperidone discontinuation_1st 260505.pdf,2026-07-10T10:59:44.205727,
MY,Malaysia,NPRA,Risperdal Consta 37.5mg,Risperidone,37.5mg,,Granules/ Powder,MAL20041157AZ,N05AX08,Johnson & Johnson Sdn. Bhd.,"Cilag AG Hochstarsse 201, 
CH-8205 Schaffhausen, Switzerland 
",Discontinuation,Current,Commercial's decision,2026-04-07,,There are other alternatives available,Registered alternative products are available,Risperidone discontinuation_1st 260505.pdf,2026-07-10T10:59:44.205792,
MY,Malaysia,NPRA,Risperdal Consta 50mg,Risperidone,50mg,,Granules/ Powder,MAL20041158AZ,N05AX08,Johnson & Johnson Sdn. Bhd.,"Cilag AG Hochstarsse 201, 
CH-8205 Schaffhausen, Switzerland 
",Discontinuation,Current,Commercial's decision,2026-04-07,,There are other alternatives available,Registered alternative products are available,Risperidone discontinuation_1st 260505.pdf,2026-07-10T10:59:44.205856,
MY,Malaysia,NPRA,CONCERTA 18 mg Extended-release Tablet,Methylphenidate Hydrochloride,18mg,,Tablet,MAL05072100ARZ,N06BA04,Johnson & Johnson Sdn. Bhd.,"Janssen Cilag Manufacturing L.L.C 
HC 02 Box 19250, State Road 933 KM0.1, Mamey Ward Gurabopuerto Rico 00778-9629, United States 
",Shortage,Current,"i) Global manufacturing capacity constraint 

ii) High demand in the market",2026-04-20,2026-07-17,Monitoring and expediting product availability,Registered alternative products are available,Methylphenidate Hydrochloride shortage_1st 260505.pdf,2026-07-10T10:59:44.205926,68004
MY,Malaysia,NPRA,CONCERTA 27 mg Extended-release Tablet,Methylphenidate Hydrochloride,27mg,,Tablet,MAL08061554ARZ,N06BA04,Johnson & Johnson Sdn. Bhd.,"Janssen Cilag Manufacturing L.L.C 
HC 02 Box 19250, State Road 933 KM0.1, Mamey Ward Gurabopuerto Rico 00778-9629, United States 
",Shortage,Current,"i) Global manufacturing capacity constraint 

ii) High demand in the market",2026-04-20,2026-07-17,Monitoring and expediting product availability,Registered alternative products are available,Methylphenidate Hydrochloride shortage_1st 260505.pdf,2026-07-10T10:59:44.206003,87076
MY,Malaysia,NPRA,CONCERTA 36 mg Extended-release Tablet,Methylphenidate Hydrochloride,36mg,,Tablet,MAL05072101ARZ,N06BA04,Johnson & Johnson Sdn. Bhd.,"Janssen Cilag Manufacturing L.L.C 
HC 02 Box 19250, State Road 933 KM0.1, Mamey Ward Gurabopuerto Rico 00778-9629, United States 
",Shortage,Current,"i) Global manufacturing capacity constraint 

ii) High demand in the market",2026-04-24,2026-06-19,Monitoring and expediting product availability,Registered alternative products are available,Methylphenidate Hydrochloride shortage_1st 260505.pdf,2026-07-10T10:59:44.206079,68012
MY,Malaysia,NPRA,DYNORMIN TABLET 100MG,ATENOLOL,100MG,,Tablet,MAL19913259AZ,C07AB03,DYNAPHARM (M) SDN. BHD.,DYNAPHARM (M) SDN. BHD.,Discontinuation,Current,Voluntary withdrawal,2026-06-04,,Company will maintain the supply of Dynormin 50mg to support therapeutic dose-equivalent alternatives.,Registered alternative products are available,Atenolol Alternatives,2026-07-10T10:59:44.206149,3352
MY,Malaysia,NPRA,Glumet XR Tablet 750mg,METFORMIN HYDROCHLORIDE,750mg,,Tablets,MAL13025046AZ,A10BA02,Pharmaniaga Manufacturing Berhad ,Pharmaniaga Manufacturing Berhad,Shortage,Current,Directive and voluntary recall required on spec batches due to quality.,2026-05-18,2027-03-31,Improvement plan already in in placed to mitigate the shortage. New stability batch is in progress,Registered alternative products are available,Metformin 750mg,2026-07-10T10:59:44.206222,150673
MY,Malaysia,NPRA,Champix 1.0mg Film- Coated Tablets,Varenicline Tartrate,1.0mg,,Film-Coated Tablet,MAL20081741AZ,,PFIZER (MALAYSIA) SDN. BHD.,Pfizer Italia S.r.l.,Discontinuation,Current,Voluntary withdrawal,2026-06-09,,,"No registered alternative product is available for this productâs single active ingredient. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement. 

NPRA notes: The registration of this product has been terminated.  
Notification will published one (1) year from the supply impact start date (08 Jun 2027).",,2026-07-10T10:59:44.206285,
