country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at,prk
HU,Hungary,OGYEI,Arava  10 mg filmtabletta,leflunomide,,30 X   - mûanyag tartályban,EU/1/99/118/003,L04AA13,sanofi-aventis Deutschland GmbH,2025-05-17,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.639171,
HU,Hungary,OGYEI,Arava  20 mg filmtabletta,leflunomide,,30 X   - mûanyag tartályban,EU/1/99/118/007,L04AA13,sanofi-aventis Deutschland GmbH,2025-09-30,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.639195,
HU,Hungary,OGYEI,Armisarte 25 mg/ml koncentrátum oldatos infúzióhoz,pemetrexed,,1 X 34 ml injekciós üvegben,EU/1/15/1063/004,L01BA04,Actavis Group PTC ehf.,2025-12-10,2026-10-30,shortage,Gyártási gond,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.639224,
HU,Hungary,OGYEI,Avastin 25 mg/ml koncentrátum oldatos infúzióhoz,bevacizumab,,1 X 16 ml injekciós üvegben,EU/1/04/300/002,L01XC07,Roche Registration GmbH,2022-09-01,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.639248,
HU,Hungary,OGYEI,"Azomyr 0,5 mg/ml belsõleges oldat",desloratadine,,1 X 150 ml üvegben,EU/1/00/157/064,R06AX27,N.V. Organon,2017-12-20,,shortage,Forgalmazói piaci megfontolások,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.639272,86886
HU,Hungary,OGYEI,BABY LUUF illóolajos kenõcs,"Eucalyptus oil;Turpentine oil, rectified;Thyme oil",,1 X 30 g üveg tartályban,OGYI-TN-13/01,,Apomedica GmbH,2012-12-31,,shortage,Forgalmazói piaci megfontolások,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.639298,
HU,Hungary,OGYEI,BACTROBAN 20 mg/g orrkenõcs,mupirocin,,1 X 3 g tubusban,OGYI-T-05031/01,R01AX06,GlaxoSmithKline Trading Services Ltd.,2026-04-17,2026-05-29,shortage,Megnövekedett igény,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.639327,32085
HU,Hungary,OGYEI,BEN-U-RON 500 mg tabletta,paracetamol,,20 X   - buborékcsomagolásban,OGYI-T-04662/01,N02BE01,Bene Arzneimittel GmbH,2021-09-16,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.639354,67903
HU,Hungary,OGYEI,"BENDAMUSTINE ONKOGEN 2,5 mg/ml por oldatos infúzióhoz való koncentrátumhoz",bendamustine hydrochloride monohydrate,,5 X 100 mg injekciós üvegben,OGYI-T-22829/04,L01AA09,Onkogen Kft.,2025-12-15,,shortage,Adminisztratív okok,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.639380,
HU,Hungary,OGYEI,BENELYTE oldatos infúzió,sodium chloride;potassium chloride;calcium chloride dihydrate;Magnesium chloride hexahydrate;sodium acetate trihydrate;glucose monohydrate,,10 X 500 ml LDPE palackban,OGYI-T-23178/03,B05BB02,Fresenius Kabi Hungary Kft.,2023-12-06,,shortage,Forgalmazói piaci megfontolások,Egyedi import,2026-09-21T13:18:30.639404,
HU,Hungary,OGYEI,BERIPLEX P/N 1000 por és oldószer oldatos injekcióhoz,"factor II, VII, IX, X",,1 X   - porüveg+oldószerüveg,OGYI-T-06408/02,B02BD01,CSL Behring GmbH,2026-09-04,2026-09-21,shortage,Gyártási gond kapacitás,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.639433,
HU,Hungary,OGYEI,BETAKLAV 400 mg/57 mg/5 ml por belsõleges szuszpenzióhoz,amoxicillin;clavulanic acid,,1 X 14 g palackban,OGYI-T-22869/14,J01CR02,"Krka d.d.,",2020-12-01,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.639462,
HU,Hungary,OGYEI,BETAKLAV 500 mg/125 mg filmtabletta,amoxicillin;clavulanic acid,,21 X   - buborékcsomagolásban,OGYI-T-22869/18,J01CR02,"Krka d.d.,",2022-09-01,,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.639489,17809
HU,Hungary,OGYEI,BETAKLAV 875 mg/125 mg filmtabletta,amoxicillin;clavulanic acid,,14 X   - buborékcsomagolásban,OGYI-T-22869/22,J01CR02,"Krka d.d.,",2023-09-19,2026-12-31,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.639518,69280
