country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,expected_period,status,reason,detail_url,published_date,scraped_at,atc_code,prk
DK,Denmark,LMST,"ICTHIOVAC ERM koncentrat til badevand, suspension","Yersinia ruckeri, serotype O2, biotype 1, stamme 8365, inaktiveret + Yersinia ruckeri, serotype O1, biotype 1, stamme 8363, inaktiveret   Substans + Yersinia ruckeri, serotype O1, biotype 2, stamme 8302, inaktiveret ATC-kode: QI10AB04 Forventet periode: Start juni - midt oktober 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Laboratorios Hipra S",,,,2026-06-10,2026-10-15,Start juni - midt oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/icthiovac-forsyningsvanskelighed/,2026-06-10T12:58:00Z,2026-09-23T20:54:00.192246,QI10AB04,
DK,Denmark,LMST,"Ropinirol ""Orion"" 8 mg depottabletter",Ropinirol (ropinirolhydrochlorid) ATC-kode: N04BC04 Forventet periode: Midt januar 2025 – midt februar 2027 Årsag: Leveringsvanskeligheder Virksomhed: Orion Pharma A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-10,2025-01-15,Midt januar 2025 – midt februar 2027,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2025/ropinirol-orion-8-mg-forsyningsvanskelighed/,2026-06-10T07:38:00Z,2026-09-23T20:54:00.192248,N04BC04,85642
DK,Denmark,LMST,"Ropinirol ""Orion"" 2 mg depottabletter",Ropinirol (ropinirolhydrochlorid) ATC-kode: N04BC04 Forventet periode: Slut december 2024 – slut oktober 2026 Årsag: Leveringsvanskeligheder Virksomhed: Orion Pharma A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-10,2024-10-25,Slut december 2024 – slut oktober 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2025/ropinirol-orion-2-mg-forsyningsvanskeligheder/,2026-06-10T07:03:00Z,2026-09-23T20:54:00.192252,N04BC04,
DK,Denmark,LMST,"Recicort Vet. 1,77+17,7 mg/ml øredråber, opløsning","Salicylsyre, triamcinolon (salicylsyre, triamcinolonacetonid) ATC-kode: QD07XB02 Forventet periode: Midt maj 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: Dechra Veterinary Products A/S Spørgsmål om aktuel status skal stilles til virksomheden",,,,2026-06-09,,Midt maj 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/recicort-vet-forsyningsvanskelighed/,2026-06-09T06:39:00Z,2026-09-23T20:54:00.192253,QD07XB02,
DK,Denmark,LMST,Anafranil Retard (Orifarm) 75 mg depottabletter,Clomipramin (clomipraminhydrochlorid) ATC-kode: N06AA04 Forventet periode: Slut april 2026 - ukendt Årsag: Leveringsvanskeligheder Virksomhed: Orifarm A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-03,,Slut april 2026 - ukendt,shortage, Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/anafranil-retard-orifarm-75-mg-forsyningsvanskelighed/,2026-06-03T10:08:00Z,2026-09-23T20:54:00.192254,N06AA04,18325
DK,Denmark,LMST,"Carprosan Vet. 50 mg/ml injektionsvæske, opløsning",Carprofen ATC-kode: QM01AE91 Forventet periode: Midt maj 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: Dechra Veterinary Products A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-05-29,,Midt maj 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/carprosan-vet-forsyningsvanskelighed/,2026-05-29T11:14:00Z,2026-09-23T20:54:00.192256,QM01AE91,
DK,Denmark,LMST,"Chorulon Vet. 1.500 IE pulver og solvens til injektionsvæske, opløsning",Choriongonadotropin ATC-kode: QG03GA01 Forventet periode: Slut marts 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: MSD Animal Health A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-05-29,,Slut marts 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/chorulon-vet-forsyningsvanskelighed/,2026-05-29T11:09:00Z,2026-09-23T20:54:00.192257,QG03GA01,
DK,Denmark,LMST,"Combigan 2+5 mg/ml øjendråber, opløsning (Abbvie A/S)",Brimonidintartrat og timololmaleat ATC-kode: S01ED51 Forventet periode: Fra start juni 2026 Årsag: Kommercielle årsager Virksomhed: Abbvie A/S Yderligere information: Permanent markedsophør Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-05-29,,Fra start juni 2026,shortage,Kommercielle årsager,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/combigan-abbvie-as-forsyningsvanskelighed/,2026-05-29T07:43:00Z,2026-09-23T20:54:00.192259,S01ED51,213934
DK,Denmark,LMST,"Sedadex 0,5 mg/ml injektionsvæske, opløsning",Dexmedetomidin (dexmedetomidinhydrochlorid) ATC-kode: QN05CM18 Forventet periode: Midt maj 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: Le Vet Beheer B,,,,2026-05-28,,Midt maj 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/sedadex-forsyningsvanskelighed/,2026-05-28T09:31:00Z,2026-09-23T20:54:00.192260,QN05CM18,
DK,Denmark,LMST,Dilaterol Vet. 25 mikrogram/ml syrup,Clenbuterol (clenbuterolhydrochlorid) ATC-kode: QR03CC13 Forventet periode: Slut maj 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: Dechra Veterinary Products A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-05-28,,Slut maj 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/dilaterol-vet-forsyningsvanskelighed/,2026-05-28T08:37:00Z,2026-09-23T20:54:00.192261,QR03CC13,
