country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
IT,Italy,AIFA,COLECALCIFEROLO MYLAN ITALIA,COLECALCIFEROLO,"""25000 UI CAPSULE MOLLI"" 4 CAPSULE IN BLISTER AL/PVC/PVDC",,50181078,2026-04-10,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073463,A11CC05,140244
IT,Italy,AIFA,COLECALCIFEROLO TEVA B.V.,COLECALCIFEROLO,25000 UI CAPSULE MOLLI 2 CAPSULE IN BLISTER PVC/PVDC/AL,,50843022,2026-09-21,2026-12-31,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073490,A11CC05,140244
IT,Italy,AIFA,COLECALCIFEROLO ZENTIVA,COLECALCIFEROLO,"«25.000 U.I. SOLUZIONE ORALE IN CONTENITORE MONODOSE» 2 FLACONI IN VETRO DA 2,5 ML",,46470035,2022-10-17,,shortage - end date unknown,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073511,A11CC05,211249
IT,Italy,AIFA,COLECALCIFEROLO ZENTIVA ITALIA,COLECALCIFEROLO,"""10000 UI CAPSULE MOLLI"" 10 CAPSULE IN BLISTER AL/PVC/PVDC",,50180049,2025-11-30,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073532,A11CC05,
IT,Italy,AIFA,COLECALCIFEROLO ZENTIVA ITALIA,COLECALCIFEROLO,"""25000 UI CAPSULE MOLLI"" 4 CAPSULE IN BLISTER AL/PVC/PVDC",,50180076,2026-07-09,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073552,A11CC05,140244
IT,Italy,AIFA,COLECALCIFEROLO ZENTIVA ITALIA,COLECALCIFEROLO,"""25000 UI CAPSULE MOLLI"" 2 CAPSULE IN BLISTER AL/PVC/PVDC",,50180064,2026-11-30,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073574,A11CC05,140244
IT,Italy,AIFA,COLISTIMETATO ACCORD,COLISTIMETATO SODICO,"""1.000.000 U.I. POLVERE PER SOLUZIONE INIETTABILE/INFUSIONE"" 10 FLACONCINI IN VETRO",,45312016,2025-04-30,,shortage - end date unknown,Problemi produttivi,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.073595,J01XB01,102318
IT,Italy,AIFA,COLLIRIO ALFA OCCHIO SECCO,SODIO IALURONATO,"""0,4% COLLIRIO, SOLUZIONE"" 20 CONTENITORI MONODOSE DA 0,5 ML",,32040014,2026-09-25,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073619,M09AX01,
IT,Italy,AIFA,COMBISTILL,DESAMETASONE,"""3 mg/ml + 1 mg/ml COLLIRIO, SOSPENSIONE"" FLACONE CONTAGOCCE IN LDPE 5 ML",,41033010,2026-10-05,2026-12-01,shortage,Elevata richiesta/problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073647,H02AB02,
IT,Italy,AIFA,CONFEROPORT,TACROLIMUS MONOIDRATO,"""3 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 30 CAPSULE IN BLISTER PVC/PVDC/AL DIVISIBILE PER DOSE UNITARIA",,47885090,2025-11-03,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073670,L04AD02,96164
