country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,dosage_form,shortage_start,first_published,estimated_end,estimated_end_text,last_updated,status,alternatives_available,reason,member_states,source_url,scraped_at
EU,EU (EMA),EMA,NovoRapid PumpCart (insulin aspart),insulin aspart,100 units/mL,,,,,Solution for injection in a cartridge,2025-05-08,2025-05-12,,,2025-12-18,shortage,Yes,The current manufacturing capacity for NovoRapid PumpCart cannot meet demand. This has led or may lead to intermittent shortages of NovoRapid PumpCart. The shortages are not related to a quality defect of the product or a safety issue.,"All Member States where the product is marketed are currently affected or are at risk of being affected by the intermittent shortages: Austria, Belgium, Czechia, Denmark, Finland, France, Germany, Italy, Luxembourg, Netherlands, Norway, Portugal, Slovakia, Slovenia, Spain and Sweden. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/novorapid-pumpcart-insulin-aspart,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Insulin lispro Sanofi,insulin lispro,100 units/ml solution for injection in cartridges;100 units/ml solution for injection in pre-filled pen,,,A10AB04,Sanofi Winthrop Industrie,Solution for injection in a cartridge;Solution for injection in pre-filled pen,,2025-12-08,,The expected duration of the shortage is unknown.,,shortage,Yes,There has been an unprecedented increase in demand for all insulins marketed by Sanofi. Sanofi is unable to immediately adapt and increase its supply for the affected presentations of Insulin lispro Sanofi. This will lead to a supply shortage of these formulations of Insulin lispro Sanofi. It is not known how long the shortage will last. The supply shortage is not related to a quality defect or safety or efficacy concerns.,"The shortage will affect several of the EEA countries where the product is marketed. For up-to-date information about the status of a medicine shortage in a particular Member State/EEA country, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/insulin-lispro-sanofi,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,ADHD medicines,atomoxetine;methylphenidate;lisdexamfetamine,,,,,,Various presentations in various strengths,,2023-12-18,,"Depending on the medicine and the EEA country, the shortage may continue until the end of 2025.",2025-11-20,shortage,Yes,"There has been an unexpected increase in demand for medicines used to treat ADHD which cannot be met by the current manufacturing capacity. Together with other manufacturing issues for several ADHD medicines, this has led to shortages in some EEA countries. These shortages are not related to a safety issue.","The shortage situation varies based on the medicine and the EU/EEA country in question. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority. Depending on the medicine and the EEA country, the shortage may continue until the end of 2025.",https://www.ema.europa.eu/en/medicines/human/shortages/adhd-medicines,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Risperidone,risperidone,,,,,,Prolonged-release suspension for injection,,2025-11-19,,Risperdal Consta - by the end of 2025; Risperidone Teva and Sperizak - to continue until the end of 2026 or beginning of 2027,,shortage,Yes,"The companies producing Risperidone Teva, Risperdal Consta and Sperizak are experiencing manufacturing problems, which have led to shortages of these medicines. The shortage of Risperdal Consta is expected to be resolved by the end of 2025. Those of Risperidone Teva and Sperizak are expected to continue until the end of 2026 or beginning of 2027. The shortages are not related to a quality defect of the product or a safety issue.","The shortages affect several Member States where the products are marketed. As the shortage situation is changing quickly, for up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/risperidone,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Bronchitol,mannitol,40 mg,,,R05CB16,Pharmaxis Europe Limited,Inhalation powder,,2025-11-14,,,,shortage,Yes,"In October 2024, the company for Bronchitol, Pharmaxis Europe Limited, had planned to change its distributor. However, this has taken longer than anticipated in some Member States and leading to shortages. It is currently not known how long these shortages will last. In other Member States, the change of distributor was not successful, and for commercial reasons Pharmaxis has decided to discontinue Bronchitol from October 2025 onwards. The shortage is not related to a quality defect of the product or a safety issue.","The discontinuation of Bronchitol and supply disruption is affecting the following Member States:Austria, Czech Republic, Denmark, Germany, Greece, Hungary, Ireland, Spain and Norway. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/bronchitol,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Beriglobin,human normal immunoglobulin,2 ml and 5 ml (160 mg/ml) solution,,,,,Solution for injection in pre-filled syringe,,2025-11-11,,,,shortage,Depending on indication,"The company for Beriglobin ended production of the medicine in August 2024 and will now permanently stop marketing the medicine. The timelines for discontinuing marketing vary depending on the country where the medicine is marketed. This will lead to a shortage of Beriglobin, which may be critical for post-exposure prophylaxis against hepatitis A, particularly in vulnerable patients, including immunocompromised people (people with a weakened immune system) and those with chronic liver disease. These people have an increased risk of serious hepatitis A disease and there are no authorised alternatives available to prevent the disease after exposure to the virus. The discontinuation is for commercial reasons and not a consequence of any safety, efficacy or quality related issue.","The shortage affects all Member States where the product is or was authorised, namely Austria, Germany, Spain and Sweden. It will also affect other countries that may import Beriglobin.",https://www.ema.europa.eu/en/medicines/human/shortages/beriglobin,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Eldisine,vindesine,5 mg,,,,,Solution for injection,,2024-02-23,,End of September 2025,2025-11-03,shortage,Yes,The company that produces Eldisine’s active substance cannot produce new batches using the current manufacturing process. The company is developing a new process for manufacturing the active substance. A shortage of Eldisine is ongoing and expected to last until December 2025 when the new manufacturing process is expected to be in place. The shortage is not related to a quality defect of the medicine or a safety issue.,"The shortage affects all Member States where the product is marketed or available. For up-to-date information about the status of this shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/eldisine,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Cyanokit,hydroxocobalamin,,,,V03AB33,SERB SA,Powder for solution for infusion,,2024-12-19,,,2025-10-30,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/cyanokit,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Pazenir,paclitaxel,5 mg/ml,,,L01CD01,ratiopharm GmbH,Powder for dispersion for infusion,,2023-01-26,,,2025-10-20,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/pazenir,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Fasturtec,rasburicase,7.5 mg / 5 ml,,,V03AF07,Sanofi Winthrop Industrie,Powder and solvent for concentrate for solution for infusion,2023-03-31,2023-02-21,,,2025-10-16,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/fasturtec,2026-09-22T14:49:34.035662
