country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at
HU,Hungary,OGYEI,"AMBROBENE  7,5 mg/ml belsõleges oldat",ambroxol,,1 X 40 ml üvegben,OGYI-T-02095/05,R05CB06,Teva Gyógyszergyár Zrt.,2018-06-18,,shortage,Gyártási gond,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,AMIKACIN B. BRAUN  5 mg/ml oldatos infúzió,amikacin,,10 X 100 ml LDPE palackban,OGYI-T-21811/01,J01GB06,B. Braun Melsungen AG,2025-08-07,2026-06-15,shortage,Szállítási vagy raktározási gondok,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,AMILOZID-TEVA 50 mg/5 mg tabletta,amiloride;hydrochlorothiazide,,30 X   - buborékcsomagolásban,OGYI-T-04882/02,C03EA01,Teva Gyógyszergyár Zrt.,2021-06-30,,shortage,Gyártási gond,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,AMINOMIX 2 NOVUM oldatos infúzió,electrolits;amino acids,,6 X 1000 ml Biofine zsákban,OGYI-T-10484/04,B05BA10,Fresenius Kabi Deutschland GmbH,2012-05-11,,shortage,Adminisztratív okok,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMINOVEN 10% oldatos infúzió,amino acids,,10 X 500 ml infúziós üvegben,OGYI-T-08241/01,B05BA01,"Fresenius Kabi AB, Uppsala",2026-02-24,2026-03-31,shortage,Megnövekedett igény,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMISULPRID-RATIOPHARM 200 mg tabletta,amisulpride,,30 X   - buborékcsomagolásban,OGYI-T-20491/01,N05AL05,Ratiopharm GmbH,2026-01-13,,shortage,Megnövekedett igény,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMLODIPIN-TEVA  5 mg tabletta,amlodipine,,30 X   - buborékcsomagolásban,OGYI-T-20993/01,C08CA01,Teva Gyógyszergyár Zrt.,2025-12-18,2026-03-20,shortage,Megnövekedett igény,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMLODIPIN-TEVA 10 mg tabletta,amlodipine,,30 X   - buborékcsomagolásban,OGYI-T-20993/02,C08CA01,Teva Gyógyszergyár Zrt.,2026-02-18,2026-04-01,shortage,Gyártási gond,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMLODIPIN-ZENTIVA 10 mg tabletta,amlodipine,,30 X   - buborékcsomagolásban,OGYI-T-20201/05,C08CA01,"Zentiva, k.s.",2025-12-15,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMLODIPIN-ZENTIVA 10 mg tabletta,amlodipine,,90 X   - buborékcsomagolásban,OGYI-T-20201/06,C08CA01,"Zentiva, k.s.",2014-03-01,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-03-13T23:10:54.071198
