country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at
SI,Slovenia,CBZ,Manitol z elektroliti HZTM,Manitol z elektroliti HZTM 100 mg/ml raztopina za infundiranje,mannitolum,,steklenica s 500 ml raztopine,raztopina za infundiranje,B05BC01,HRVATSKI ZAVOD ZA TRANSFUZIJSKU MEDICINU,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,NeoRecormon,NeoRecormon 3.000 i.e. raztopina za injiciranje v napolnjeni injekcijski briz,erythropoietinum,,6 napolnjenih injekcijskih brizg,raztopina za injiciranje,B03XA01,Roche Registration GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Diovan,Diovan 40 mg filmsko obložene tablete,valsartanum,,škatla z 28 tabletami (2 x 14 tablet v koledarskem pretisnem omotu iz PVC/PVDC/aluminija),filmsko obložena tableta,C09CA03,Novartis Europharm Limited,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,CERVARIX,CERVARIX suspenzija za injiciranje v napolnjeni injekcijski brizgi,"vaccina papilomaviris humanis stirpis 16, 18",,"1 napolnjena injekcijska brizga (0,5 ml) + 1 injekcijska igla",suspenzija za injiciranje,J07BM02,GlaxoSmithKline Biologicals S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,OMNIPAQUE,OMNIPAQUE 300 mg I/ml raztopina za injiciranje,iohexolum,,škatla z 10 vialami s 50 ml raztopine,raztopina za injiciranje,V08AB02,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,BONVIVA,BONVIVA 3 mg/3 ml raztopina za injiciranje v napolnjeni injekcijski brizgi,acidum ibandronicum,,1 napolnjena injekcijska brizga,raztopina za injiciranje,M05BA06,Atnahs Pharma Netherlands B.V.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,Betaserc,Betaserc 24 mg tablete,betahistinum,,škatla z 20 tabletami (1 x 20 tablet v pretisnem omotu),tableta,N07CA01,Viatris Healthcare Limited,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,OMNIPAQUE,OMNIPAQUE 350 mg I/ml raztopina za injiciranje,iohexolum,,škatla s 6 vialami z 200 ml raztopine,raztopina za injiciranje,V08AB02,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,Priorix,PRIORIX prašek in vehikel za raztopino za injiciranje v napolnjeni injekcijski brizgi,"morbillorum, parotitidis et rubeolae vaccinum",,"škatla z 10 napolnjenimi injekcijskimi brizgami z 0,5 ml vehikla, 20 injekcijskimi iglami in 10 vialami s praškom",Prašek in vehikel za raztopino za injiciranje,J07BD52,GlaxoSmithKline Biologicals S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,ARCOXIA,ARCOXIA 120 mg filmsko obložene tablete,etoricoxibum,,škatla s 14 tabletami (2 x 7 tablet v pretisnem omotu),filmsko obložena tableta,M01AH05,"N. V. Organon, Oss",Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,ARCOXIA,ARCOXIA 120 mg filmsko obložene tablete,etoricoxibum,,škatla z 28 tabletami (4 x 7 tablet v pretisnem omotu),filmsko obložena tableta,M01AH05,"N. V. Organon, Oss",Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,ARCOXIA,ARCOXIA 60 mg filmsko obložene tablete,etoricoxibum,,škatla s 14 tabletami (2 x 7 tablet v pretisnem omotu),filmsko obložena tableta,M01AH05,"N. V. Organon, Oss",Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,ARCOXIA,ARCOXIA 60 mg filmsko obložene tablete,etoricoxibum,,škatla s 7 tabletami (1 x 7 tablet v pretisnem omotu),filmsko obložena tableta,M01AH05,"N. V. Organon, Oss",Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,ARCOXIA,ARCOXIA 90 mg filmsko obložene tablete,etoricoxibum,,škatla s 14 tabletami (2 x 7 tablet v pretisnem omotu),filmsko obložena tableta,M01AH05,"N. V. Organon, Oss",Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,ARCOXIA,ARCOXIA 90 mg filmsko obložene tablete,etoricoxibum,,škatla s 7 tabletami (1 x 7 tablet v pretisnem omotu),filmsko obložena tableta,M01AH05,"N. V. Organon, Oss",Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,Kamiren,Kamiren 4 mg tablete,doxazosinum,,škatla z 90 tabletami (9 x 10 tablet v pretisnem omotu),tableta,C02CA04,"KRKA, d.d., Novo mesto",Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.450835
SI,Slovenia,CBZ,Ultiva,Ultiva 1 mg prašek za raztopino za injiciranje/infundiranje,remifentanilum,,škatla s 5 vialami s praškom,prašek za raztopino za injiciranje/infundiranje,N01AH06,Aspen Pharma Trading Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Ultiva,Ultiva 5 mg prašek za raztopino za injiciranje/infundiranje,remifentanilum,,škatla s 5 vialami s praškom,prašek za raztopino za injiciranje/infundiranje,N01AH06,Aspen Pharma Trading Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
