file,substance,atc_code
CA_HPSC_shortage_2026-03-13.csv,"SODIUM ACETATE INJECTION, USP",
CA_HPSC_shortage_2026-03-13.csv,YASMIN 28,
CA_HPSC_shortage_2026-03-13.csv,RATIO-LENOLTEC NO 1,
CA_HPSC_shortage_2026-03-13.csv,RIVACOCET,
CA_HPSC_shortage_2026-03-13.csv,PAMIDRONATE DISODIUM FOR INJECTION,
CA_HPSC_shortage_2026-03-13.csv,PAMIDRONATE DISODIUM OMEGA 3 MG/ML,
CA_HPSC_shortage_2026-03-13.csv,VICTOZA,
CA_HPSC_shortage_2026-03-13.csv,ALPROLIX,
CA_HPSC_shortage_2026-03-13.csv,ZOSTAVAX II,
CA_HPSC_shortage_2026-03-13.csv,RIVASOL-HC SUPPOSITORIES,
CA_HPSC_shortage_2026-03-13.csv,AERMONY RESPICLICK,
CA_HPSC_shortage_2026-03-13.csv,MAR-ESCITALOPRAM,
CA_HPSC_shortage_2026-03-13.csv,NUTROPIN AQ NUSPIN 20,
CA_HPSC_shortage_2026-03-13.csv,PULMICORT NEBUAMP 0.125 MG/ML,
CA_HPSC_shortage_2026-03-13.csv,DESFERAL 500MG,
CA_HPSC_shortage_2026-03-13.csv,CLAVULIN 875,
CA_HPSC_shortage_2026-03-13.csv,EDARBI,
CA_HPSC_shortage_2026-03-13.csv,LOSEC MUPS,
CA_HPSC_shortage_2026-03-13.csv,ACT-HIB,
CA_HPSC_shortage_2026-03-13.csv,ABRILADA,
CA_HPSC_shortage_2026-03-13.csv,COMIRNATY,
CA_HPSC_shortage_2026-03-13.csv,CAMPRAL,
CA_HPSC_shortage_2026-03-13.csv,BOOSTRIX,
CA_HPSC_shortage_2026-03-13.csv,CUVITRU,
CA_HPSC_shortage_2026-03-13.csv,SORIATANE,
CA_HPSC_shortage_2026-03-13.csv,MYLAN-CILAZAPRIL,
CA_HPSC_shortage_2026-03-13.csv,CLOMID,
CA_HPSC_shortage_2026-03-13.csv,APO-DOCUSATE CALCIUM,
CA_HPSC_shortage_2026-03-13.csv,NORPROLAC,
CA_HPSC_shortage_2026-03-13.csv,STATEX SYRUP 1MG/ML,
CA_HPSC_shortage_2026-03-13.csv,ZITHROMAX FOR INTRAVENOUS INJECTION,
CA_HPSC_shortage_2026-03-13.csv,IXIARO,
CA_HPSC_shortage_2026-03-13.csv,SOLU-CORTEF 100 MG ACT-O-VIAL,
CA_HPSC_shortage_2026-03-13.csv,ZOMETA CONCENTRATE,
CA_HPSC_shortage_2026-03-13.csv,LUSTRA-AF,
CA_HPSC_shortage_2026-03-13.csv,RECOMBIVAX HB     -(ADULT DIALYSIS-PRESERVATIVE FREE),
CA_HPSC_shortage_2026-03-13.csv,BENZACLIN TOPICAL GEL,
CA_HPSC_shortage_2026-03-13.csv,OZURDEX,
CA_HPSC_shortage_2026-03-13.csv,CLOTRIMADERM VAG CREAM 2%,
CA_HPSC_shortage_2026-03-13.csv,PHARMA-ESCITALOPRAM,
CA_HPSC_shortage_2026-03-13.csv,HISTATROL,
CA_HPSC_shortage_2026-03-13.csv,ZERIT - CAP 15MG,
CA_HPSC_shortage_2026-03-13.csv,LIDODAN JELLY 2%(SINGLE USE SYRINGE),
CA_HPSC_shortage_2026-03-13.csv,DUVOID,
CA_HPSC_shortage_2026-03-13.csv,NYADERM,
CA_HPSC_shortage_2026-03-13.csv,APPRILON,
CA_HPSC_shortage_2026-03-13.csv,ACT AMPHETAMINE XR,
CA_HPSC_shortage_2026-03-13.csv,MYTOLAC,
CA_HPSC_shortage_2026-03-13.csv,BSS PLUS,
CA_HPSC_shortage_2026-03-13.csv,AVAXIM,
CA_HPSC_shortage_2026-03-13.csv,PREMARIN,
CA_HPSC_shortage_2026-03-13.csv,CILAZAPRIL,
CA_HPSC_shortage_2026-03-13.csv,TEVA-LENOLTEC NO. 1,
CA_HPSC_shortage_2026-03-13.csv,APO-FENO-SUPER,
CA_HPSC_shortage_2026-03-13.csv,SANDOZ PERINDOPRIL ERBUMINE/ INDAPAMIDE HD,
CA_HPSC_shortage_2026-03-13.csv,PONSTAN,
CA_HPSC_shortage_2026-03-13.csv,CYSTO-CONRAY II,
CA_HPSC_shortage_2026-03-13.csv,APO-DIVALPROEX,
CA_HPSC_shortage_2026-03-13.csv,PROMETRIUM,
CA_HPSC_shortage_2026-03-13.csv,IFEX,
CA_HPSC_shortage_2026-03-13.csv,DANTRIUM INTRAVENOUS,
CA_HPSC_shortage_2026-03-13.csv,PREVACID FASTAB,
CA_HPSC_shortage_2026-03-13.csv,CARBOCAINE 2% WITH NEO-COBEFRIN,
CA_HPSC_shortage_2026-03-13.csv,PROCTOSEDYL SUPPOSITORIES,
CA_HPSC_shortage_2026-03-13.csv,JENCYCLA,
CA_HPSC_shortage_2026-03-13.csv,ACÉTAMINOPHÈNE BLASON SHIELD 500,
CA_HPSC_shortage_2026-03-13.csv,TEVA-ESCITALOPRAM,
CA_HPSC_shortage_2026-03-13.csv,FORTEO,
CA_HPSC_shortage_2026-03-13.csv,FORTAZ,
CA_HPSC_shortage_2026-03-13.csv,APO-ESOMEPRAZOLE,
CA_HPSC_shortage_2026-03-13.csv,LIORESAL INTRATHECAL 0.5MG/ML,
CA_HPSC_shortage_2026-03-13.csv,BYSTOLIC,
CA_HPSC_shortage_2026-03-13.csv,PROCTOSEDYL,
CA_HPSC_shortage_2026-03-13.csv,APO-TENOFOVIR,
CA_HPSC_shortage_2026-03-13.csv,MOUNJARO,
CA_HPSC_shortage_2026-03-13.csv,SALAZOPYRIN EN-TABS 500 MG,
CA_HPSC_shortage_2026-03-13.csv,BALMINIL EXPECTORANT (SUCROSE FREE),
CA_HPSC_shortage_2026-03-13.csv,APO AMPI LIQ 125MG/5ML,
CA_HPSC_shortage_2026-03-13.csv,DIMENHYDRINATE INJECTION USP WITH PRESERVATIVE,
CA_HPSC_shortage_2026-03-13.csv,TRYPTAN TAB 1000MG,
CA_HPSC_shortage_2026-03-13.csv,MODECATE CONCENTRATE,
CA_HPSC_shortage_2026-03-13.csv,NEULEPTIL 5MG CAPSULES,
CA_HPSC_shortage_2026-03-13.csv,APO-ASA LD,
CA_HPSC_shortage_2026-03-13.csv,ANAFRANIL,
CA_HPSC_shortage_2026-03-13.csv,ACETAMINOPHEN CHEWABLE TABLETS 80 MG FOR CHILDREN,
CA_HPSC_shortage_2026-03-13.csv,CIPRALEX MELTZ,
CA_HPSC_shortage_2026-03-13.csv,YF-VAX (YELLOW FEVER VACCINE),
CA_HPSC_shortage_2026-03-13.csv,ACT ESOMEPRAZOLE,
CA_HPSC_shortage_2026-03-13.csv,VARITHENA,
CA_HPSC_shortage_2026-03-13.csv,PMS-CYCLOBENZAPRINE - TAB 10MG,
CA_HPSC_shortage_2026-03-13.csv,CEFTIN,
CA_HPSC_shortage_2026-03-13.csv,LOESTRIN 1.5/30,
CA_HPSC_shortage_2026-03-13.csv,ERYTHRO-BASE,
CA_HPSC_shortage_2026-03-13.csv,THIAMIJECT INJECTION - LIQ IM IV 100MG/ML,
CA_HPSC_shortage_2026-03-13.csv,BRIVLERA,
CA_HPSC_shortage_2026-03-13.csv,YOHIMBINE TAB 5.4MG,
CA_HPSC_shortage_2026-03-13.csv,QVAR,
CA_HPSC_shortage_2026-03-13.csv,APO-CILAZAPRIL/HCTZ,
CA_HPSC_shortage_2026-03-13.csv,KIDROLASE,
CA_HPSC_shortage_2026-03-13.csv,ALERTEC,
CA_HPSC_shortage_2026-03-13.csv,TRAMACET,
CA_HPSC_shortage_2026-03-13.csv,!!T3ALDACTONE 25 MG,
CA_HPSC_shortage_2026-03-13.csv,AUDRINA 28,
CA_HPSC_shortage_2026-03-13.csv,AURO-EZETIMIBE,
CA_HPSC_shortage_2026-03-13.csv,SENSORCAINE,
CA_HPSC_shortage_2026-03-13.csv,JAMP-RISEDRONATE,
CA_HPSC_shortage_2026-03-13.csv,CORTENEMA,
CA_HPSC_shortage_2026-03-13.csv,ADACEL-POLIO,
CA_HPSC_shortage_2026-03-13.csv,SEGLUROMET,
CA_HPSC_shortage_2026-03-13.csv,PMS-ASA EC,
