country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at,prk
LT,Lithuania,VVKT,Rivaroxaban Farmak,Rivaroxaban,Rivaroksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF01,LT/1/22/5087/002,Farmak International Sp. z o.o.,shortage,2026-07-23T11:41:58.342080,117250
LT,Lithuania,VVKT,Mempoglyn,Metformin and empagliflozin,Empagliflozinas/Metformino hidrochloridas,"12,5 mg/850 mg",plėvele dengtos tabletės,A10BD20,LT/1/26/6016/005,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342082,
LT,Lithuania,VVKT,CLOTRIMAZOLUM GSK,Clotrimazole,Klotrimazolas,100 mg,makšties tabletės,G01AF02,LT/L/26/3132/001,UAB Niromed,shortage,2026-07-23T11:41:58.342084,
LT,Lithuania,VVKT,Dapagliflozin Olpha,Dapagliflozin,Dapagliflozinas,5 mg,plėvele dengtos tabletės,A10BK01,LT/1/26/6039/003,Olpha AS,shortage,2026-07-23T11:41:58.342087,104760
LT,Lithuania,VVKT,Aciclovir Hikma,Aciclovir,Acikloviras,250 mg,milteliai infuziniam tirpalui,J05AB01,LT/L/24/2126/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342088,
LT,Lithuania,VVKT,Turcer,Combinations,Tikagreloras/Acetilsalicilo rūgštis,90 mg/50 mg,kietosios kapsulės,A01AA30,LT/1/25/5931/003,Zentiva k.s.,shortage,2026-07-23T11:41:58.342091,
LT,Lithuania,VVKT,SOLU-MEDROL,Methylprednisolone,Metilprednizolonas,1000 mg,milteliai ir tirpiklis injekciniam tirpalui,H02AB04,LT/L/25/2898/001,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342110,26069
LT,Lithuania,VVKT,Unilux,Iopamidol,Jodas,370 mg/ml,injekcinis tirpalas,V08AB04,LT/L/23/1980/002,UAB PharmaDIA,shortage,2026-07-23T11:41:58.342113,
LT,Lithuania,VVKT,Ibuprofen Catalent,Ibuprofen,Ibuprofenas,400 mg,minkštosios kapsulės,M01AE01,LT/1/22/4997/008,Catalent Germany Eberbach GmbH,shortage,2026-07-23T11:41:58.342115,69248
LT,Lithuania,VVKT,Rivaroxaban STADA [Rivaroxaban ALIUD],Rivaroxaban,Rivaroksabanas,15 mg,kietosios kapsulės,B01AF01,LT/1/22/5099/018,STADA Arzneimittel AG,shortage,2026-07-23T11:41:58.342117,100145
LT,Lithuania,VVKT,Linagliptin/Metformin STADA,Metformin and linagliptin,Linagliptinas/Metformino hidrochloridas,"2,5 mg/850 mg",plėvele dengtos tabletės,A10BD11,LT/1/24/5538/005,STADA Arzneimittel AG,shortage,2026-07-23T11:41:58.342120,102768
LT,Lithuania,VVKT,Nurofen Orange,Ibuprofen,Ibuprofenas,100 mg,kramtomosios minkštosios kapsulės,M01AE01,LT/1/16/4016/010,Reckitt Benckiser (Poland) S.A.,shortage,2026-07-23T11:41:58.342121,
LT,Lithuania,VVKT,Eltrombopag Olpha [Eltrombopag Olainfarm],Eltrombopag,Eltrombopagas,75 mg,plėvele dengtos tabletės,B02BX05,LT/1/24/5404/006,Olpha AS,shortage,2026-07-23T11:41:58.342123,108219
LT,Lithuania,VVKT,Ankermann,Cyanocobalamin,Cianokobalaminas,1000 µg,dengtos tabletės,B03BA01,LT/1/24/5453/006,Wörwag Pharma GmbH & Co. KG,shortage,2026-07-23T11:41:58.342124,92177
LT,Lithuania,VVKT,Xaboplax,Rivaroxaban,Rivaroksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF01,LT/1/23/5285/005,Sandoz d.d.,shortage,2026-07-23T11:41:58.342126,117250
LT,Lithuania,VVKT,Pitipix,Pitavastatin,Pitavastatinas,1 mg,plėvele dengtos tabletės,C10AA08,LT/1/24/5543/003,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342127,
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,20 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5601/027,Teva B.V.,shortage,2026-07-23T11:41:58.342128,98612
LT,Lithuania,VVKT,Bisoprololo Krka,Bisoprolol,Bizoprololio fumaratas,"2,5 mg",plėvele dengtos tabletės,C07AB07,LT/L/25/3022/001,UAB Nemuno vaistinė,shortage,2026-07-23T11:41:58.342130,71323
LT,Lithuania,VVKT,Ruxolitinib Sandoz,ruxolitinib,Ruksolitinibas,5 mg,tabletės,L01EJ01,LT/1/26/6049/008,Sandoz d.d.,shortage,2026-07-23T11:41:58.342131,108464
LT,Lithuania,VVKT,Ezoleta,Ezetimibe,Ezetimibas,10 mg,tabletės,C10AX09,LT/L/21/1622/006,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342132,70645
LT,Lithuania,VVKT,KLACID SR,Clarithromycin,Klaritromicinas,500 mg,modifikuoto atpalaidavimo tabletės,J01FA09,LT/L/26/3452/001,UAB Nemuno vaistinė,shortage,2026-07-23T11:41:58.342134,49425
LT,Lithuania,VVKT,Estrofem,Estradiol,Estradiolis,1 mg,plėvele dengtos tabletės,G03CA03,LT/L/19/1014/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342135,
LT,Lithuania,VVKT,Edoxaban TAD,Edoxaban,Edoksabanas,30 mg,plėvele dengtos tabletės,B01AF03,LT/1/24/5577/026,TAD Pharma GmbH,shortage,2026-07-23T11:41:58.342136,128198
LT,Lithuania,VVKT,Sitagliptin/Metformin hydrochloride GeneriNobel,Metformin and sitagliptin,Sitagliptinas/Metformino hidrochloridas,50 mg/850 mg,plėvele dengtos tabletės,A10BD07,LT/1/25/5699/003,GeneriNobel GmbH,shortage,2026-07-23T11:41:58.342138,218162
LT,Lithuania,VVKT,Ropinirol Retard Mylan,Ropinirole,Ropinirolis,2 mg,pailginto atpalaidavimo tabletės,N04BC04,LT/L/20/1443/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342139,
LT,Lithuania,VVKT,Travoprost Zentiva,Travoprost,Travoprostas,40 µg/ml,akių lašai (tirpalas),S01EE04,LT/L/26/3117/001,UAB Niromed,shortage,2026-07-23T11:41:58.342141,
LT,Lithuania,VVKT,Modylan [Aporiak],Apixaban,Apiksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF02,LT/1/24/5549/014,Egis Pharmaceuticals PLC,shortage,2026-07-23T11:41:58.342142,99066
LT,Lithuania,VVKT,PRUBDAQ,Apixaban,Apiksabanas,5 mg,plėvele dengtos tabletės,B01AF02,LT/1/24/5557/004,Bausch Health Ireland Limited,shortage,2026-07-23T11:41:58.342143,105678
