country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,distribution_method,marketing_auth_holder,shortage_start,estimated_end,status,reason,therapeutic_alternatives,scraped_at
GR,Greece,EOF,"BICAVERA 2,30% ΓΛΥΚΟΖΗ, 1,75MMOL/L ΑΣΒΕΣΤΙΟ SOL.PER.DI 2,30%ΣΕ ΓΛΥΚΟΖΗ BTX4 BAGSX2000 ML","SODIUM, BICARBONATE",,,2802539203024,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2025-12-23,2026-03-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,"BICAVERA 4,25% ΓΛΥΚΟΖΗ, 1,75MMOL/L ΑΣΒΕΣΤΙΟ SOL.PER.DI 4,25% ΣΕ ΓΛΥΚΟΖΗ BTX4 BAGSX2000 ML","SODIUM, BICARBONATE",,,2802539202027,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2026-02-01,2026-05-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,"BICAVERA 1,5% ΓΛΥΚΟΖΗ, 1,75MMOL/L ΑΣΒΕΣΤΙΟ SOL.PER.DI 1,5% ΣΕ ΓΛΥΚΟΖΗ BTX4 BAGSX2000 ML","SODIUM, BICARBONATE",,,2802539201020,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2026-01-01,2026-03-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,BICAVERA 1.25MMOL/L CALCIUM SOL.PER.DI 1.5% ΣΕ ΓΛΥΚΌΖΗ BTX4 BAGS X 2000ML (STAY SAFE),"SODIUM, BICARBONATE",,,2803113001012,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2025-12-31,2026-03-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,BICAVERA 1.25MMOL/L CALCIUM SOL.PER.DI 2.3% ΣΕ ΓΛΥΚΌΖΗ BTX4 BAGS X 2000ML (STAY SAFE),"SODIUM, BICARBONATE",,,2803113003016,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2026-06-01,2026-09-30,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,SOLUVIT PD.SOL.INF  BTX10 VIALS X 10 ML & 10 ΠΛΑΣΤΙΚΈΣ ΘΗΚΕΣ ΓΙΑ ΤΗΝ ΠΡΟΣΤΑΣΊΑ ΤΟΥ ΑΝΑΣΥΣΤΑΘΈΝΤΟΣ ΔΙΑΛΎΜΑΤΟΣ ΑΠΌ ΤΟ ΦΩΣ,"RIBOFLAVINE-5-, PHOSPHATE,, SODIUM SALT",,,2800227901016,B05XC,ΦΑΡΜΑΚΕΙΟΥ,"FRESENIUS KABI HELLAS ΜΟΝΟΠΡΌΣΩΠΗ Α.Ε., ΕΛΛΑΔΑ",2026-01-19,2026-12-31,shortage,Προβλήματα στην παραγωγική διαδικασία,Εναλλακτικά όμοιο προϊόν μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,OXBRYTA F.C.TAB 500 MG/TAB BT X 1 ΦΙΑΛΗ (HDPE) X 90 ΔΙΣΚΙΑ,VOXELOTOR,,,2803343201015,B06AX03,ΦΑΡΜΑΚΕΙΟΥ,"PFIZER EUROPE MA EEIG, BELGIUM",2024-09-24,2026-04-30,shortage,Πρόβλημα ασφάλειας χρήσης φαρμάκου,Εναλλακτική αγωγή σύμφωνα με τις οδηγίες του θεράποντος ιατρού,2026-03-12T16:42:03.347998
GR,Greece,EOF,"ANAPEN INJ.SOL 150MCG/0,3ML PF.SYR BTX2PF.SYR.X0,3ML",EPINEPHRINE,,,2802660901028,C01CA24,ΦΑΡΜΑΚΕΙΟΥ,ALLERTEC HELLAS A.E.,2023-11-01,2026-04-30,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά όμοιο προϊόν μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,"ANAPEN INJ.SOL 300MCG/0,3ML PF.SYR. BTX2PF.SYR.X0,3ML",EPINEPHRINE,,,2802660902025,C01CA24,ΦΑΡΜΑΚΕΙΟΥ,ALLERTEC HELLAS A.E.,2024-01-01,2026-04-30,shortage,Προβλήματα στην παραγωγική διαδικασία,Εναλλακτικά όμοιο προϊόν μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,LEVOSIMENDAN/WIN MEDICA C/S.SOL.IN 2.5MG/ML BT X 1 VIAL X 5ML,LEVOSIMENDAN,,,2803289801010,C01CX08,ΝΟΣΟΚΟΜΕΙΑΚΟ,"WIN MEDICA A.E., ΕΛΛΑΔΑ",2026-02-09,2026-03-31,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
