country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Exenatide (Bydureon® BCise® ) 2mg/0.85ml prolonged-release suspension for injection pre-filled pen,,,injection,,MSN/2025/054,,,2025-10-15,,,,shortage,Tier 2 - medium impact,,2025-10-15,https://cpe.org.uk/our-news/medicine-supply-notification-exenatide-bydureon-bcise-2mg-0-85ml-prolonged-release-suspension-for-injection-pre-filled-pen/,2026-09-22T14:33:41.312359
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Admelog® (insulin lispro),,,,,MSN/2025/052,,,2025-09-18,,,,shortage,Tier 2 - medium impact,,2025-09-18,https://cpe.org.uk/our-news/medicine-supply-notification-admelog-insulin-lispro/,2026-09-22T14:33:41.312841
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Repaglinide 500microgram,1mg and 2mg tablets",,,tablets,,MSN/2025/050,,,2025-08-26,,early December 2025,,shortage,Tier 2 - medium impact,,2025-08-26,https://cpe.org.uk/our-news/medicine-supply-notification-repaglinide-500microgram1mg-and-2mg-tablets/,2026-09-22T14:33:41.514351
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Estradiol (Progynova® TS) 50micrograms/24hours and 100micrograms/24hours transdermal patches,,,transdermal patches,,MSN/2025/048,,,2025-08-06,,,,shortage,Tier 2 - medium impact,,2025-08-06,https://cpe.org.uk/our-news/medicine-supply-notification-estradiol-progynova-ts-50micrograms-24hours-and-100micrograms-24hours-transdermal-patches/,2026-09-22T14:33:41.515304
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Isosorbide mononitrate 10mg tablets (immediate-release),,,tablets,,MSN/2025/047,,,2025-07-24,,early September 2025,,shortage,Tier 2 - medium impact,,2025-07-24,https://cpe.org.uk/our-news/medicine-supply-notification-isosorbide-mononitrate-10mg-tablets-immediate-release/,2026-09-22T14:33:41.516047
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Vial presentations of Hypurin® Porcine Isophane, Hypurin® Porcine Neutral and Hypurin® Porcine 30/70 Mix are being discontinued",,,,,MSN/2025/046,,,2025-07-23,,,,shortage,Tier 2 - medium impact,,2025-07-24,https://cpe.org.uk/our-news/medicine-supply-notification-vial-presentations-of-hypurin-porcine-isophane-hypurin-porcine-neutral-and-hypurin-porcine-30-70-mix-are-being-discontinued/,2026-09-22T14:33:41.516810
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Vials of Humulin® I, Humulin® S, Humulin® M3, and Humalog® Mix25 are being discontinued.",,,,,MSN/2025/045,,,2025-07-23,,,,shortage,Tier 2 - medium impact,,2025-07-24,https://cpe.org.uk/our-news/medicine-supply-notification-vials-of-humulin-i-humulin-s-humulin-m3-and-humalog-mix25-are-being-discontinued/,2026-09-22T14:33:41.517878
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Abidec® Multivitamin drops,,,,,MSN/2025/044,,,2025-07-16,,,,shortage,Tier 2 - medium impact,,2025-07-16,https://cpe.org.uk/our-news/medicine-supply-notification-abidec-multivitamin-drops/,2026-09-22T14:33:41.518850
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Amiodarone 200mg tablets,,,tablets,,MSN/2025/043,,,2025-07-11,,early August 2025,,shortage,Tier 2 - medium impact,,2025-07-11,https://cpe.org.uk/our-news/medicine-supply-notification-amiodarone-200mg-tablets/,2026-09-22T14:33:41.519530
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Diclofenac (Voltarol® Ophtha) 0.1% eye drops 0.3ml unit dose preservative free,,,eye drops,,MSN/2025/042,,,2025-07-10,,early October 2025,,shortage,Tier 2 - medium impact,,2025-07-10,https://cpe.org.uk/our-news/medicine-supply-notification-diclofenac-voltarol-ophtha-0-1-eye-drops-0-3ml-unit-dose-preservative-free/,2026-09-22T14:33:41.816975
