country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
ES,Spain,AEMPS,LEVOFLOXACINO KERN PHARMA 5 mg/ml SOLUCION PARA PERFUSION EFG 10 frascos de 100 ml,LEVOFLOXACINO HEMIHIDRATO,,,605995,2026-04-10,2027-01-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031946,J01MA12,97500
ES,Spain,AEMPS,"PILOCARPINA APOTHEKE 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 84 comprimidos",PILOCARPINA HIDROCLORURO,,,762478,2026-04-10,2026-12-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031955,N07AX01,
ES,Spain,AEMPS,"GALANTAMINA TEVA-RATIO 16 MG CAPSULAS DURAS  DE LIBERACION PROLONGADA EFG, 28 cápsulas",GALANTAMINA HIDROBROMURO,,,697878,2026-04-09,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031960,N06DA01,
ES,Spain,AEMPS,"GALANTAMINA TEVA-RATIO 24 MG CAPSULAS DURAS  DE LIBERACION PROLONGADA EFG, 28 cápsulas",GALANTAMINA HIDROBROMURO,,,697879,2026-04-09,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031965,N06DA01,
ES,Spain,AEMPS,"RISPERIDONA SANDOZ 6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 60 comprimidos",RISPERIDONA,,,652290,2026-04-09,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031976,N05AX08,51381
ES,Spain,AEMPS,"ATORVASTATINA VIATRIS 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos (OPA/Al/PVC/Al)",ATORVASTATINA,,,693688,2026-04-08,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031981,C10AA05,98612
ES,Spain,AEMPS,"MONTELUKAST VIATRIS 5 MG COMPRIMIDOS MASTICABLES EFG, 28 comprimidos (Al/Al)",MONTELUKAST SODICO,,,680715,2026-04-08,2027-03-24,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031990,R03DC03,52043
ES,Spain,AEMPS,"CEFOTAXIMA SALA 1G POLVO PARA SOLUCION INYECTABLE EFG, 100 viales",CEFOTAXIMA SODICA,,,606061,2026-04-07,2026-11-14,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032000,J01DD01,37168
ES,Spain,AEMPS,"CANDESARTAN/HIDROCLOROTIAZIDA VIATRIS 16 MG/12,5 MG COMPRIMIDOS EFG, 28 comprimidos","CANDESARTAN CILEXETILO, HIDROCLOROTIAZIDA",,,697438,2026-04-06,2027-03-09,shortage,Cese de comercialización temporal,Existe/n otro/s medicamento/s con los mismos principios activos y para la misma vía de administración.,2026-09-23T20:59:43.032009,,
ES,Spain,AEMPS,"CEFTAZIDIMA SALA 2.000 mg POLVO PARA SOLUCION PARA PERFUSION EFG , 50 viales",CEFTAZIDIMA PENTAHIDRATO,,,600634,2026-04-01,2026-11-14,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032018,J01DD01,22209
ES,Spain,AEMPS,"PERINDOPRIL/INDAPAMIDA VISO FARMACEUTICA 4 MG/1,25 MG COMPRIMIDOS EFG , 30 comprimidos","PERINDOPRIL ERBUMINA, INDAPAMIDA",,,685670,2026-04-01,2026-09-30,shortage,Cese de comercialización temporal,Existe/n otro/s medicamento/s con los mismos principios activos y para la misma vía de administración.,2026-09-23T20:59:43.032026,,
