country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at
IT,Italy,AIFA,GABAPENTIN TEVA PHARMA,GABAPENTINA,"""300 MG CAPSULE RIGIDE"" 50  CAPSULE IN BLISTER PVC/AL",,N02BF01,36698189,2025-11-21,2025-12-30,resolved,Problemi produttivi (carenza relativa solo al canale ospedaliero),Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN ZENTIVA,GABAPENTINA,"""400 MG CAPSULE RIGIDE"" 30  CAPSULE IN BLISTER PVC/ALU",,N02BF01,36777365,2022-08-22,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN ZENTIVA,GABAPENTINA,"""100 MG CAPSULE RIGIDE"" 50 CAPSULE IN BLISTER PVC/ALU",,N02BF01,36777047,2023-03-20,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN ZENTIVA,GABAPENTINA,"""300 MG CAPSULE RIGIDE"" 50  CAPSULE IN BLISTER PVC/ALU",,N02BF01,36777213,2023-02-06,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABESATO MESILATO BIOINDUSTRIA L.I.M.,GABESATO MESILATO,"""100 MG/5 ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE DA 5 ML",,,41445014,2025-04-16,2026-03-31,shortage,Problemi produttivi,Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GABESATO MESILATO IBI,GABEXATO MESILATO,""" 100 MG/ 5 ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE "" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE DA 5 ML",,,35969017,2024-04-01,,shortage - end date unknown,Problemi produttivi,Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GADOVIST,GADOBUTROLO,"""1.0 MMOL/ML SOLUZIONE INIETTABILE"" 1 CARTUCCIA DA 30 ML",,V08CA09,34964217,2019-04-30,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GADUAR,OLMESARTAN MEDOXOMIL,"""40 MG/10 MG/25 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER AL/AL",,C09CA08,49375138,2024-10-11,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GADUAR,OLMESARTAN MEDOXOMIL,"""20 MG/5 MG/12,5 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER AL/AL",,C09CA08,49375013,2024-10-11,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GADUAR,OLMESARTAN MEDOXOMIL,"""40 MG/5 MG/25 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER AL/AL",,C09CA08,49375076,2026-04-13,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
