country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at,prk
EE,Estonia,RAVIMIAMET,ESCITALOPRAM GRINDEKS,N06AB10,estsitalopraam,õhukese polümeerikattega tablett,10mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=d05fef2b-5728-47fd-b8b6-522e685a13f3,2026-09-21T16:19:38.878921,74969
EE,Estonia,RAVIMIAMET,ESCITALOPRAM GRINDEKS,N06AB10,estsitalopraam,õhukese polümeerikattega tablett,20mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0867fb74-fb48-4c84-b473-82869fdab2de,2026-09-21T16:19:40.862943,74977
EE,Estonia,RAVIMIAMET,ESTROFEM,G03CA03,östradiool,õhukese polümeerikattega tablett,2mg,First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=1bebf566-bc9c-4637-a45a-9d00c9a98b6c,2026-09-21T16:19:40.862981,30325
EE,Estonia,RAVIMIAMET,EZETIMIBE/ATORVASTATIN OLPHA,C10BA05,atorvastatiin +esetimiib,õhukese polümeerikattega tablett,20mg +10mg,Olpha AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6d2c22df-9719-4dce-afa6-cbb994cdfa76,2026-09-21T16:19:40.863004,122807
EE,Estonia,RAVIMIAMET,EZETIMIBE/ATORVASTATIN OLPHA,C10BA05,atorvastatiin +esetimiib,õhukese polümeerikattega tablett,40mg +10mg,Olpha AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=5861ed67-9ebd-4562-9780-d737be9ddc99,2026-09-21T16:19:40.863025,122815
EE,Estonia,RAVIMIAMET,EZETIMIBE/ATORVASTATIN OLPHA,C10BA05,atorvastatiin +esetimiib,õhukese polümeerikattega tablett,80mg +10mg,Olpha AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=158947bf-1a4f-4ce1-a5b5-9cb9e888e8ce,2026-09-21T16:19:40.863043,
EE,Estonia,RAVIMIAMET,EXOLORFIN,D01AE16,amorolfiin,ravimküünelakk,50mg 1ml,Sandoz Pharmaceuticals d.d.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=64e400d8-86b7-4ecb-9739-07e1e695f592,2026-09-21T16:19:40.863060,
EE,Estonia,RAVIMIAMET,FARPENTA,N05AH03,olansapiin,suus dispergeeruv tablett,5mg,Sanoswiss UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=c30f5878-2330-4d27-b5b4-6d4d4cc1e3c9,2026-09-21T16:19:40.863076,60941
EE,Estonia,RAVIMIAMET,FINASTERIDE TEVA,G04CB01,finasteriid,õhukese polümeerikattega tablett,5mg,Teva Pharma B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=cc8bf717-7f19-4e56-97d1-fff6bce4c1a8,2026-09-21T16:19:40.863098,34975
EE,Estonia,RAVIMIAMET,FLUOXETINE VITABALANS,N06AB03,fluoksetiin,õhukese polümeerikattega tablett,20mg,Vitabalans Oy,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=bc102e13-ff42-4ca9-b864-efee8dd9d1e9,2026-09-21T16:19:40.863115,
EE,Estonia,RAVIMIAMET,FOSCARNET SODIUM TILLOMED,J05AD01,naatriumfoskarnet,infusioonilahus,24mg 1ml,Tillomed Pharma GmbH,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=1811d472-e794-4dba-bda7-b84d14645fb9,2026-09-21T16:19:40.863132,33081
EE,Estonia,RAVIMIAMET,FOSINOPRIL ACTAVIS,C09AA09,fosinopriil,tablett,20mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=40b1fd29-0a90-4fcb-84e7-2d15820d8b9a,2026-09-21T16:19:40.863148,39578
EE,Estonia,RAVIMIAMET,FOSINOPRIL ACTAVIS,C09AA09,fosinopriil,tablett,10mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ba8fc441-42e2-4627-b1bb-f91043bac29f,2026-09-21T16:19:40.863164,39551
EE,Estonia,RAVIMIAMET,FUCITHALMIC,S01AA13,fusidiinhape,"silmatilgad, suspensioon",10mg 1g,Amdipharm Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ba30ac7b-44c3-4725-82df-c4e77c319391,2026-09-21T16:19:40.863180,227196
EE,Estonia,RAVIMIAMET,FUROSEMIDE BASI,C03CA01,furosemiid,süste-/infusioonilahus,10mg 1ml,Laboratorios Basi Industria Farmaceutica S.A.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0a5842f0-31f7-4718-a09b-49edb1f6a83a,2026-09-21T16:19:40.863202,116351
EE,Estonia,RAVIMIAMET,GLICLAZIDE ACTAVIS,A10BB09,gliklasiid,toimeainet modifitseeritult vabastav tablett,60mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6630fe8c-7d0b-42d5-aedb-eb37dfe5d435,2026-09-21T16:19:40.863219,141925
EE,Estonia,RAVIMIAMET,HOLOXAN,L01AA06,ifosfamiid,süstelahuse pulber,1g,OÜ Baxter Estonia,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ffe6e8a7-f5dc-42bf-9a0b-bcb6a143b304,2026-09-21T16:19:40.863235,14818
EE,Estonia,RAVIMIAMET,HYDROCORTISONE DAK,D07AA02,hüdrokortisoon,salv,10mg 1g,Orifarm Healthcare A/S,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8e78e338-9bb6-4580-b2de-5451c18960c9,2026-09-21T16:19:40.863252,
EE,Estonia,RAVIMIAMET,IBANDRONIC ACID TEVA,M05BA06,ibandroonhape,õhukese polümeerikattega tablett,150mg,Teva B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9320210e-17fd-47df-a268-c4a3984e14db,2026-09-21T16:19:40.863268,79685
EE,Estonia,RAVIMIAMET,IDARUBICIN ACCORD,L01DB06,idarubitsiin,süstelahus,10mg 10ml,Accord Healthcare B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e56763b7-90a6-44cc-b281-2065bf7e4ed9,2026-09-21T16:19:40.863284,52515
EE,Estonia,RAVIMIAMET,IKERVIS,S01XA18,tsüklosporiin,"silmatilgad, emulsioon",1mg 1ml,Santen Oy,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=d813df6c-3349-46e7-93fa-6e91b6efda4a,2026-09-21T16:19:40.863300,216461
EE,Estonia,RAVIMIAMET,IMATINIB SANOSWISS 400MG,L01EA01,imatiniib,õhukese polümeerikattega tablett,400mg,UAB SanoSwiss,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9cdfb2f8-b131-4a31-afaf-9c9ecb1b7cee,2026-09-21T16:19:40.863320,71307
EE,Estonia,RAVIMIAMET,IMULDOSA,L04AC05,ustekinumab,infusioonilahuse kontsentraat,130mg 26ml,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=16a39461-6efe-4d8d-a6fc-4c796e0fadaf,2026-09-21T16:19:40.863337,138274
