country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,product_no,company_name,registration_number,manufacturer,status,source_status,disruption_type,reason,shortage_start,estimated_end,last_updated,mitigation_prh,mitigation_npra,alternatives,scraped_at,prk
MY,Malaysia,NPRA,ERITROTEX INJECTION 500MG,ERYTHROMYCIN LACTOBIONATE,500MG,,INJECTION,J01FA01,AVERROES PHARMACEUTICALS SDN BHD,MAL06051289AZ,AVERROES PHARMACEUTICALS SDN BHD,MAL06051289AZ,FISIOPHARMA SRL,shortage,Current,Shortage,Increased Demand,2026-07-01,2026-09-15,2026-09-22,The PRH has informed the manufacturer of the supply shortage and requested that production and delivery be expedited. The PRH continues to closely follow up with the manufacturer to secure the earliest possible delivery of the remaining orders and to mitigate the impact of the shortage.,No registered alternative product is available for this product’s active ingredients in injection dosage form. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,5061
MY,Malaysia,NPRA,BECAME TABLET,"Pseudoephedrine hydrochloride, Carbinoxamine maleate",1. 60mg 2. 4mg,,Tablet,,Y.S.P. INDUSTRIES (M) SDN. BHD.,MAL19930600AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,MAL19930600AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,shortage,Current,Shortage,1) API Shortage 2) Increased Demand 3) Regulatory related,2026-08-10,2026-11-30,2026-09-22,Alternative medicines are available proposed by PRH: PEACE SYRUP (MAL19985561AZ),No registered alternative product is available for this product’s active ingredients combination. Doctors and pharmacists are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Polarine Tablet,1) Pseudoephedrine Hydrochloride 2) Dexchlorpheniramine Maleate,1) 60mg 2) 2mg,,Tablet,R06AB02,Sunward Pharmaceutical Sdn. Bhd.,MAL19921008AZ,Sunward Pharmaceutical Sdn. Bhd.,MAL19921008AZ,Sunward Pharmaceutical Sdn. Bhd.,shortage,Current,Shortage,Temporary production shutdown from November 2025 to February 2026,2025-11-10,2027-02-01,2026-09-22,PRH will apply for an additional quota of the relevant controlled medicine to support production validation and production upon resumption of the manufacturer's production line.,No registered alternative product is available for this product’s active ingredients combination. Doctors and pharmacists are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Plendil 2.5mg ER Tablet,Felodipine,2.5mg,,Film Coated Tablet,C08CA02,Zuellig Pharma Sdn. Bhd.,MAL19940655AZ,Zuellig Pharma Sdn. Bhd.,MAL19940655AZ,"Saneca Pharmaceuticals a.s. Nitrianska 100, 920 27 HlohovecSLOVAKIA",shortage,Current,Shortage,Importation from the new manufacturing site has been delayed due to: • Technical transfer activitie and capacity constraints at the new site; and • Regulatory compliance requirements,2026-07-01,2026-11-30,2026-09-22,PRH has not proposed any mitigation plan.,No registered alternative product is available for this product’s active ingredients. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,35726
MY,Malaysia,NPRA,Plendil 5mg ER Tablet,Felodipine,5mg,,Film Coated Tablet,C08CA02,Zuellig Pharma Sdn. Bhd.,MAL19972986AZ,Zuellig Pharma Sdn. Bhd.,MAL19972986AZ,"Saneca Pharmaceuticals a.s. Nitrianska 100, 920 27 Hlohovec SLOVAKIA",shortage,Current,Shortage,Importation from the new manufacturing site has been delayed due to: • Technical transfer activitie and capacity constraints at the new site; and • Regulatory compliance requirements,2026-07-01,2027-06-30,2026-09-22,The company has proposed an alternative product for consideration.,No registered alternative product is available for this product’s active ingredients. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,30929
MY,Malaysia,NPRA,Plendil 10mg ER Tablets,Felodipine,10mg,,Film Coated Tablet,C08CA02,Zuellig Pharma Sdn. Bhd.,MAL19972985AZ,Zuellig Pharma Sdn. Bhd.,MAL19972985AZ,"Saneca Pharmaceuticals a.s. Nitrianska 100, 920 27 Hlohovec SLOVAKIA",shortage,Current,Shortage,Importation from the new manufacturing site has been delayed due to: • Technical transfer activitie and capacity constraints at the new site; and • Regulatory compliance requirements,2026-07-01,2027-06-30,2026-09-22,The company has proposed an alternative product for consideration.,No registered alternative product is available for this product’s active ingredients. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,30937
MY,Malaysia,NPRA,Hapacol Effervescent Tablet 500mg,Paracetamol,500mg,,Tablet Effervescent,N02BE01,HOE Pharmaceuticals SDN BHD,MAL18116047XZ,HOE Pharmaceuticals SDN BHD,MAL18116047XZ,DHG Pharmaceutical Joint stock company,discontinued,Current,Discontinuation,Reduced demand,2026-09-07,2028-11-16,2026-09-22,PRH has not proposed any mitigation plan.,Registered alternative products are available,Paracetamol discontinuation_1st 260910.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,UNASYN 1M/IV 3.0G,1) Sulbactam sodium 2) Ampicillin sodium,1) 1G 2) 2G,,Intravenous (IV),J01CA51,PFIZER (MALAYSIA) SDN. BHD.,MAL19970634ACSZ,PFIZER (MALAYSIA) SDN. BHD.,MAL19970634ACSZ,Haupt Pharma Latina S.r.l.,shortage,Current,Shortage,Production delayed due to operational issues,2026-08-01,2026-10-31,2026-09-22,Expedite Shipment via Air Freight,Registered alternative products are available,Sulbactam sodium & Ampicillin sodium shortage_2nd 260918.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,GABATA 300 (GABAPENTIN CAPSULES USP 300MG),GABAPENTIN,300MG,,CAPSULES,N03AX12,Ascend Laboratories Sdn Bhd,MAL19016037AZ,Ascend Laboratories Sdn Bhd,MAL19016037AZ,ALKEM LABORATORIES LIMITED INDIA,shortage,Current,Shortage,Recall Notice has been given to current batch being sold in Malaysia now due to OOS,2026-08-21,2027-03-31,2026-09-22,current OOS is under investigation by manufacturer and resolution of the investigation report would be provided to NPRA next and to plan for next stocks supply to Malaysia thereafter,Registered alternative products are available,Gabapentin Alternatives,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,TSART 40 (TELMISARTAN TABLETS USP 40MG),TELMISARTAN,40MG,,TABLETS,C09CA07,Ascend Laboratories Sdn Bhd,MAL19056110AZ,Ascend Laboratories Sdn Bhd,MAL19056110AZ,ALKEM LABORATORIES LTD INDIA,shortage,Current,Shortage,Recall Notice has been given to current batch being sold in Malaysia now due to OOS,2026-07-23,2027-03-31,2026-09-22,current OOS is under investigation by manufacturer and resolution of the investigation report would be provided to NPRA next and to plan for next stocks supply to Malaysia thereafter,Registered alternative products are available,Telmisartan Alternatives,2026-09-22T14:27:48.443291,50644
MY,Malaysia,NPRA,Arava 20mg Tablet,Leflunomide,20mg,,Tablet,L04AA13,Sanofi-aventis Malaysia Sdn Bhd,MAL20001527AZ,Sanofi-aventis Malaysia Sdn Bhd,MAL20001527AZ,Opella Healthcare International SAS,shortage,Current,Shortage,"Increased Demand, Supply delay",2026-09-11,2026-12-31,2026-09-22,Requested for air shipment support,Registered alternative products are available,Leflunomide Alternatives,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,DOXLOX Doxorubicin HCl Liposome Injection Concentrate for Solution for Infusion 2 mg/ml,DOXORUBICIN HYDROCHLORIDE,2 mg/ml,,Liposome Injection Concentrate for Solution for Infusion,L01DB01,Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,MAL20026059ACZ,Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,MAL20026059ACZ,Natco Pharma Ltd.,shortage,Current,Shortage,Product manufacturing related,2025-11-01,2027-07-31,2026-09-22,"To ensure fulfilment of our tender obligations during this period, we have sourced alternative stock to maintain continuity of supply to MOH Hospitals.",Pending,,2026-09-22T14:27:48.443291,121703
MY,Malaysia,NPRA,Buventol Easyhaler 100mcg/Dose Inhalation Powder,Salbutamol Sulphate,100mcg,,Inhaler,R03AC02,Orion Pharma (MY) Sdn. Bhd.,MAL19973591AZ,Orion Pharma (MY) Sdn. Bhd.,MAL19973591AZ,Orion Corp (Finland),shortage,Current,Shortage,Commercial viability,2026-10-01,,2026-09-22,Alternative medicines are available proposed by PRH NPRA notes: Product is Commercial Supply Discontinuation,Registered alternative products are available,Salbutmal (Inhaler) shortage_3rd 260921.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Aspira Oral Granules 4mg,Montelukast Sodium,4mg,,Oral granules,R03DC03,Pharmaniaga Manufacturing Berhad,MAL12095093AZ,Pharmaniaga Manufacturing Berhad,MAL12095093AZ,Pharmaniaga Manufacturing Berhad (Malaysia),shortage,Current,Shortage,Sourcing new alternative API manufacturer,2026-08-14,2027-04-30,2026-09-22,1. PRH working with the existing registered API supplier for customized pack sizes to ensure product quality. 2. PRH prioritizing the sourcing of alternative API manufacturers to establish a long-term solution.,Registered alternative products are available,Montelukast shortage (oral granules)_1st 260921.pdf,2026-09-22T14:27:48.443291,90182
MY,Malaysia,NPRA,Singulair 4mg Oral Granules,Montelukast Sodium,4mg,,Oral Granules,R03DC03,ORGANON MALAYSIA SDN. BHD.,MAL14075049ACRZ,ORGANON MALAYSIA SDN. BHD.,MAL14075049ACRZ,Patheon Manufacturing Services LLC.,to be discontinued,Anticipated,Discontinuation,Business decision,2026-12-01,,2026-09-22,,Registered alternative products are available,Montelukast Alternatives 251219,2026-09-22T14:27:48.443291,90182
