country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at,prk
SI,Slovenia,CBZ,Humani Albumin CSL Behring,Humani Albumin CSL Behring 200 g/l raztopina za infundiranje,albuminum,,škatla z 1 vialo s 100 ml raztopine,raztopina za infundiranje,B05AA01,CSL Behring GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292182,24082
SI,Slovenia,CBZ,Loquen SR,Loquen SR 150 mg tablete s podaljšanim sprošèanjem,quetiapinum,,škatla s 60 tabletami (6 x 10 tablet v pretisnem omotu),tableta s podaljšanim sprošèanjem,N05AH04,Teva Pharma B.V.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292192,
SI,Slovenia,CBZ,Farydak,Farydak 10 mg trde kapsule,,,6 kapsul v pretisnih omotih,"kapsula, trda",L01XH03,Pharmaand GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292203,
SI,Slovenia,CBZ,Farydak,Farydak 15 mg trde kapsule,,,6 kapsul v pretisnih omotih,"kapsula, trda",L01XH03,Pharmaand GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292213,
SI,Slovenia,CBZ,Farydak,Farydak 20 mg trde kapsule,,,6 kapsul v pretisnih omotih,"kapsula, trda",L01XH03,Pharmaand GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292223,
SI,Slovenia,CBZ,Memantin Mylan,Memantin Mylan 10 mg filmsko obložene tablete,memantinum,,škatla z 28 tabletami v pretisnih omotih,filmsko obložena tableta,N06DX01,Mylan Pharmaceuticals Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292233,66818
SI,Slovenia,CBZ,Memantin Mylan,Memantin Mylan 20 mg filmsko obložene tablete,memantinum,,škatla z 28 tabletami v pretisnih omotih,filmsko obložena tableta,N06DX01,Mylan Pharmaceuticals Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292244,66818
SI,Slovenia,CBZ,Duloksetin Viatris,Duloksetin Viatris 30 mg trde gastrorezistentne kapsule,duloxetinum,,škatla z 28 kapsulami v pretisnih omotih iz PVC/PCTFE/Alu,"gastrorezistentna kapsula, trda",N06AX21,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292254,79057
SI,Slovenia,CBZ,Duloksetin Viatris,Duloksetin Viatris 60 mg trde gastrorezistentne kapsule,duloxetinum,,škatla z 28 kapsulami v pretisnih omotih iz PVC/PCTFE/Alu,"gastrorezistentna kapsula, trda",N06AX21,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292264,79057
SI,Slovenia,CBZ,Levosert,Levosert 20 mikrogramov/24 ur intrauterini dostavni sistem,contraceptiva intrauterina polymerica cum progestogenis,,škatla z 1 intrauterinim dostavnim sistemom,intrauterini dostavni sistem,G02BA03,Gedeon Richter Plc.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292275,223999
SI,Slovenia,CBZ,Bortezomib Teva,"Bortezomib Teva 3,5 mg prašek za raztopino za injiciranje",,,škatla z 1 vialo (volumen 10 ml) s praškom,prašek za raztopino za injiciranje,L01XG01,Teva B.V.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292285,
SI,Slovenia,CBZ,Cinakalcet Viatris,Cinakalcet Viatris 30 mg filmsko obložene tablete,cinacalcetum,,škatla z 28 tabletami v pretisnih omotih,filmsko obložena tableta,H05BX01,Viatris Limited,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292295,
