country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at,prk
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Lansoprazole 15mg and 30mg orodispersible tablets,Lansoprazole,,orodispersible tablets,,MSN/2026/044,A02BC03,,2026-09-07,,early January 2027,,shortage,Tier 2 - medium impact,,2026-09-09,https://cpe.org.uk/our-news/medicine-supply-notification-lansoprazole-15mg-and-30mg-orodispersible-tablets/,2026-09-23T10:38:17.902911,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Ramipril 1.25mg, 2.5mg, 5mg and 10mg capsules",Ramipril,,capsules,,MSN/2026/043,C09AA05,,2026-09-07,,the end of October 2026,,shortage,Tier 2 - medium impact,,2026-09-07,https://cpe.org.uk/our-news/medicine-supply-notification-ramipril-1-25mg-2-5mg-5mg-and-10mg-capsules/,2026-09-23T10:38:17.906097,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Edoxaban (Lixiana®) 15mg tablets,Edoxaban,,tablets,,MSN/2026/042,B01AF03,,2026-09-01,,,,shortage,Tier 2 - medium impact,,2026-09-01,https://cpe.org.uk/our-news/medicine-supply-notification-edoxaban-lixiana-15mg-tablets/,2026-09-23T10:38:17.906699,128171
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Methylprednisolone (Medrone®) 100mg tablets,Methylprednisolone,,tablets,,MSN/2026/041,D07AA01,,2026-09-01,,,,shortage,Tier 2 - medium impact,,2026-09-01,https://cpe.org.uk/our-news/medicine-supply-notification-methylprednisolone-medrone-100mg-tablets/,2026-09-23T10:38:17.907470,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Venlafaxine 75mg immediate-release tablets,Venlafaxine,,tablets,,MSN/2026/040,N06AX16,,2026-08-26,,November 2026,,shortage,Tier 2 - medium impact,,2026-08-26,https://cpe.org.uk/our-news/medicine-supply-notification-venlafaxine-75mg-immediate-release-tablets/,2026-09-23T10:38:17.907850,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Formoterol fumarate dihydrate (Atimos Modulite®) 12micrograms/dose inhaler,Formoterol fumarate dihydrate,,inhaler,,MSN/2026/039,R03AC13,,2026-08-25,,,,shortage,Tier 2 - medium impact,,2026-08-25,https://cpe.org.uk/our-news/medicine-supply-notification-formoterol-fumarate-dihydrate-atimos-modulite-12micrograms-dose-inhaler/,2026-09-23T10:38:17.908208,73350
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Beclometasone dipropionate (Clenil Modulite®) 50micrograms/dose and 250 micrograms/dose inhalers,,,inhaler,,MSN/2026/038,,,2026-08-25,,,,shortage,Tier 2 - medium impact,,2026-08-25,https://cpe.org.uk/our-news/medicine-supply-notification-beclometasone-dipropionate-clenil-modulite-50micrograms-dose-and-250-micrograms-dose-inhalers/,2026-09-23T10:38:17.908548,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Moviprep® and Plenvu® oral powder sachets,,,oral powder sachets,,MSN/2026/037,,,2026-08-25,,January 2027,,shortage,Tier 2 - medium impact,,2026-08-25,https://cpe.org.uk/our-news/medicine-supply-notification-moviprep-and-plenvu-oral-powder-sachets/,2026-09-23T10:38:17.909042,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Quetiapine 50mg, 150mg, 200mg, 300mg and 400mg modified-release tablets",Quetiapine,,modified-release tablets,,MSN/2025/006,N05AH04,,2025-02-10,,,,shortage,Tier 2 - medium impact,,2026-08-13,https://cpe.org.uk/our-news/medicine-supply-notification-quetiapine-50mg-150mg-200mg-300mg-and-400mg-modified-release-tablets/,2026-09-23T10:38:17.909506,84182
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Voltarol® Ophtha and Voltarol® Ophtha Multidose eye drops,,,eye drops,,MSN/2026/034,,,2026-07-30,,,,shortage,Tier 2 - medium impact,,2026-07-30,https://cpe.org.uk/our-news/medicine-supply-notification-voltarol-ophtha-and-voltarol-ophtha-multidose-eye-drops/,2026-09-23T10:38:17.957539,
