country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,marketing_auth_holder,mah_country,notification_date,shortage_start,estimated_end,status,notification_type,reason,scraped_at,atc_code,prk
RO,Romania,ANMDMR,PARACETAMOL KABI 10 mg/ml,PARACETAMOLUM,10mg/ml,SOL. PERF.,FRESENIUS KABI ROMANIA S.R.L.,ROMANIA,2026-08-10,2026-08-10,,permanent_discontinuation,"Discontinuitate permanenta din
Septembrie 2027",Motive comerciale,2026-09-23T21:00:14.616067,N02BE01,95176
RO,Romania,ANMDMR,"ENTECAVIR VIATRIS 0,5 mg",ENTECAVIRUM,"0,5mg",COMPR. FILM.,MYLAN PHARMACEUTICALS LIMITED,IRLANDA,2026-08-11,2026-08-11,,temporary_discontinuation,"Discontinuitate temporara din
Octombrie 2026",Motive de fabricatie,2026-09-23T21:00:14.616076,J05AF10,81388
RO,Romania,ANMDMR,ENTECAVIR VIATRIS 1 mg,ENTECAVIRUM,1mg,COMPR. FILM.,MYLAN PHARMACEUTICALS LIMITED,IRLANDA,2026-08-11,2026-08-11,,temporary_discontinuation,"Discontinuitate temporara din
Octombrie 2026",Motive de fabricatie,2026-09-23T21:00:14.616085,J05AF10,81396
RO,Romania,ANMDMR,DEPAKINE CHRONO 300 mg,ACIDUM VALPROICUM + SARURI,300mg,COMPR. CU ELIB. PREL.,SANOFI ROMANIA S.R.L.,ROMANIA,2026-08-11,2026-08-11,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616093,,
RO,Romania,ANMDMR,SUGAMMADEX DR. REDDY'S 100 mg/ml,SUGAMMADEXUM,100 mg/ml,SOL. INJ.,DR. REDDY'S LABORATORIES ROMANIA S.R.L.,ROMANIA,2026-08-12,2026-08-12,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616102,V03AB35,
RO,Romania,ANMDMR,ERTAPENEM FRESENIUS KABI 1 g,ERTAPENEMUM,1g,PULB. PT. CONC. PT. SOL. PERF.,FRESENIUS KABI ROMANIA S.R.L.,ROMANIA,2026-08-13,2026-08-13,,permanent_discontinuation,"Discontinuitate permanenta din
Septembrie 2027",Motive comerciale,2026-09-23T21:00:14.616109,J01DH03,63525
RO,Romania,ANMDMR,IMIPENEM/CILASTATINA KABI 500 mg/500 mg,IMIPENEMUM + CILASTATINUM,500mg/500mg,PULB. PT. SOL. PERF.,FRESENIUS KABI ROMANIA S.R.L.,ROMANIA,2026-08-13,2026-08-13,,permanent_discontinuation,"Discontinuitate permanenta din
Septembrie 2027",Motive comerciale,2026-09-23T21:00:14.616115,,
RO,Romania,ANMDMR,TECHNESCAN SESTAMIBI 1 mg,RADIOFARMACEUTICE,1mg,"TRUSA (KIT) PT. PREPARATE
RADIOFARMACEUTICE",CURIUM NETHERLANDS B.V.,OLANDA,2026-08-13,2026-08-13,,permanent_discontinuation,"Discontinuitate permanenta din
Ianuarie 2027",Motive comerciale,2026-09-23T21:00:14.616122,,
RO,Romania,ANMDMR,INSPRA 25 mg,EPLERENONUM,25mg,COMPR. FILM.,UPJOHN EESV,OLANDA,2026-08-17,2026-08-17,,temporary_discontinuation,"Discontinuitate temporara din
Septembrie 2026",Motive de fabricatie,2026-09-23T21:00:14.616130,C03DA04,73431
RO,Romania,ANMDMR,SINGULAIR 4 mg,MONTELUKASTUM,4mg,COMPR. MAST.,ORGANON BIOSCIENCES S.R.L.,ROMANIA,2026-08-18,2026-08-18,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616137,R03DC03,67857
RO,Romania,ANMDMR,NIMOTOP 10 mg/50 ml,NIMODIPINUM,10mg/50ml,SOL. PERF.,LABORATOIRE X.O,FRANTA,2026-08-18,2026-08-18,,discontinuation,Renuntare la APP din Iulie 2027,Motive comerciale,2026-09-23T21:00:14.616143,C08CA06,27588
RO,Romania,ANMDMR,NIMOTOP 30 mg,NIMODIPINUM,30mg,COMPR. FILM.,LABORATOIRE X.O,FRANTA,2026-08-18,2026-08-18,,discontinuation,Renuntare la APP din Iulie 2027,Motive comerciale,2026-09-23T21:00:14.616149,C08CA06,27596
RO,Romania,ANMDMR,BETAHISTINA LPH 16 mg,BETAHISTINUM,16mg,COMPR.,LABORMED PHARMA S.A.,ROMANIA,2026-08-21,2026-08-21,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616158,N07CA01,27413
RO,Romania,ANMDMR,OSAGRAND 150 mg,ACIDUM IBANDRONICUM,150mg,COMPR. FILM.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-21,2026-08-21,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616166,M05BA06,79685
RO,Romania,ANMDMR,DIUROCARD 50 mg/20 mg,COMBINATII (SPIRONOLACTONUM+FUROSEMIDUM),50mg/20 mg,CAPS.,LABORMED PHARMA S.A.,ROMANIA,2026-08-25,2026-08-25,,temporary_discontinuation,"Discontinuitate temporara din
Septembrie 2026",Motive de fabricatie,2026-09-23T21:00:14.616174,,
RO,Romania,ANMDMR,LEFLUNOMIDE ZENTIVA 20 mg,LEFLUNOMIDUM,20mg,COMPR. FILM.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-25,2026-08-25,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616183,L04AK01,53619
RO,Romania,ANMDMR,PREGABALIN ZENTIVA 75 mg,PREGABALINUM,75mg,CAPS.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-25,2026-08-25,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616191,N02BF02,75701
RO,Romania,ANMDMR,ATOMOXETINA ZENTIVA 18 mg,ATOMOXETINUM,18mg,CAPS.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-25,2026-08-25,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616199,N06BA09,76716
RO,Romania,ANMDMR,"EVERTAS 9,5 mg/24 h",RIVASTIGMINUM,"9,5mg/24h",PLASTURE TRANSDERMIC,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-25,2026-08-25,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616207,N06DA03,
RO,Romania,ANMDMR,PUQOD 150 mg,NINTEDANIBUM,150mg,CAPS. MOI,"ZENTIVA, K.S.",REPUBLICA CEHA,2026-08-25,2026-08-25,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616216,L01EX09,
RO,Romania,ANMDMR,LEVETIRACETAM TERAPIA 1000 mg,LEVETIRACETAMUM,1000mg,COMPR. FILM.,TERAPIA S.A.,ROMANIA,2026-08-26,2026-08-26,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616226,N03AX14,58408
RO,Romania,ANMDMR,LINEZOLID KRKA 600 mg,LINEZOLIDUM,600mg,COMPR. FILM.,"KRKA, D.D., NOVO MESTO",SLOVENIA,2026-08-26,2026-08-26,,temporary_discontinuation,"Discontinuitate temporara din
Septembri 2026",Motive comerciale,2026-09-23T21:00:14.616234,J01XX08,60186
RO,Romania,ANMDMR,PARACETAMOL DR. MAX 500 mg,PARACETAMOLUM,500mg,COMPR.,GEMAX PHARMA S.R.O.,REPUBLICA CEHA,2026-08-26,2026-08-26,,temporary_discontinuation,"Discontinuitate temporara din
Septembrie 2027",Motive comerciale,2026-09-23T21:00:14.616242,N02BE01,67903
RO,Romania,ANMDMR,AXABAL 150 mg,BUPROPIONUM,150mg,COMPR. CU ELIB. MODIF.,TERAPIA SA,ROMANIA,2026-08-26,2026-08-26,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616251,N06AX12,82880
RO,Romania,ANMDMR,DULOXETINA TERAPIA 30 mg,DULOXETINUM,30mg,CAPS. GASTROREZ.,TERAPIA S.A.,ROMANIA,2026-08-26,2026-08-26,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616259,N06AX21,79057
RO,Romania,ANMDMR,DULOXETINA TERAPIA 60 mg,DULOXETINUM,60mg,CAPS. GASTROREZ.,TERAPIA S.A.,ROMANIA,2026-08-26,2026-08-26,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616267,N06AX21,79065
RO,Romania,ANMDMR,PACID 20 mg,PANTOPRAZOLUM,20mg,COMPR. GASTROREZ.,TERAPIA S.A.,ROMANIA,2026-08-26,2026-08-26,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616276,A02BC02,52272
RO,Romania,ANMDMR,BEKEMV 300,ECULIZUMABUM,300mg,CONC. PT. SOL. PERF.,AMGEN TECHNOLOGY (IRELAND) UC,IRLANDA,2026-08-26,2026-08-26,,permanent_discontinuation,"Discontinuitate permanenta din
August 2027",Motive comerciale,2026-09-23T21:00:14.616283,L04AJ01,137472
RO,Romania,ANMDMR,KANJINTI 150 mg,TRASTUZUMABUM,150mg,PULB. PT. CONC. PT. SOL. PERF.,AMGEN EUROPE B.V.,OLANDA,2026-08-26,2026-08-26,,permanent_discontinuation,"Discontinuitate permanenta din
August 2027",Motive comerciale,2026-09-23T21:00:14.616289,L01FD01,57991
RO,Romania,ANMDMR,KANJINTI 420 mg,TRASTUZUMABUM,420mg,PULB. PT. CONC. PT. SOL. PERF.,AMGEN EUROPE B.V.,OLANDA,2026-08-26,2026-08-26,,permanent_discontinuation,"Discontinuitate permanenta din
August 2027",Motive comerciale,2026-09-23T21:00:14.616296,L01FD01,150975
RO,Romania,ANMDMR,"EMBLAVEO 1,5 g/0,5 g",AZTREONAMUM+AVIBACTAMUM,"1,5g/0,5g",PULB. PT. CONC. PT. SOL. PERF.,PFIZER EUROPE MA EEIG,BELGIA,2026-08-28,2026-08-28,,temporary_discontinuation,"Discontinuitate temporara din
Decembrie 2026",Motive comerciale,2026-09-23T21:00:14.616305,,
