country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at,prk
BE,Belgium,FAMHP,Nimatek 100 mg/ml inj. opl. i.m./i.v./s.c. flac. 50 ml,Ketamine,,,3349503,QN01AX03,BE-V439546,Dechra Regulatory B.V.,2025-02-20,2027-03-31,,unavailable,Andere reden,-,2026-09-23T11:15:11.440134,
BE,Belgium,FAMHP,Sertraline Viatris 100 mg filmomh. tabl. 60,Sertraline,,,2216182,N06AB06,BE270977,Viatris GX BV-SRL,2025-02-17,2027-04-07,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440141,39411
BE,Belgium,FAMHP,Genta-Equine 100 mg/ml inj. opl. i.v. flac. 100 ml,Gentamicin ,,,3362068,QJ01GB03,BE-V477520,Franklin Pharmaceuticals Ltd.,2025-02-13,2027-03-30,,unavailable,Andere reden,-,2026-09-23T11:15:11.440147,
BE,Belgium,FAMHP,Tivicay 50 mg (Orifarm) filmomh. tabl. 30,Dolutegravir ,,,4201968,J05AJ03,EU/1/13/892/001,Orifarm a.s.,2025-02-11,2026-10-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440152,116467
BE,Belgium,FAMHP,Profender middelgrote honden tabl. geregul. afgifte 24,"Emodepside, Praziquantel",,,2679215,QP52AA51,EU/2/05/054/026,Vétoquinol S.A.,2025-02-10,2026-11-16,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.440158,
BE,Belgium,FAMHP,Megecat 5 mg tabl. 6,Megestrol Acetate,,,4772646,QG03AC05,BE-V133235,Vétoquinol SA-NV,2025-02-10,2028-01-01,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.440166,
BE,Belgium,FAMHP,Vetoryl 120 mg kauwtabl. 30,Trilostane ,,,4851275,QH02CA01,BE-V662906,Dechra Regulatory B.V.,2025-02-10,2026-12-31,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.440172,
BE,Belgium,FAMHP,Tolterodine Retard Teva 4 mg harde caps. verl. afgifte 84,Tolterodine,,,3140035,G04BD07,BE426027,Teva GmbH,2025-02-05,2027-01-18,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440178,60534
BE,Belgium,FAMHP,Kivizidiale 40 µg/ml - 5 mg/ml oogdruppels opl. druppelfl. 2.5 ml,"Timolol, Travoprost",,,4199030,S01ED51,BE524142,Bausch + Lomb Ireland ,2025-01-27,2027-01-01,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440185,212245
BE,Belgium,FAMHP,Concerta 54 mg (PI Pharma) tabl. verl. afgifte 30,Methylphenidate Hydrochloride ,,,3180247,N06BA04,1637PI0688F003,PI Pharma SA-NV,2025-01-21,2026-10-31,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440192,69272
BE,Belgium,FAMHP,Wegovy 2.4 mg (Abacus Medicine) inj. opl. s.c. voorgev. pen 3 ml FlexTouch,Semaglutide ,,,4829446,A10BJ06,EU/1/21/1608/010,Abacus Medicine a.s.,2025-01-07,2027-08-31,,unavailable,Andere reden,Aanpassing van de behandeling mogelijk (niet-levensnoodzakelijk geneesmiddel),2026-09-23T11:15:11.440197,223824
BE,Belgium,FAMHP,Kali-Sterop 7.5 g/50 ml inf. opl. (conc.) i.v. flac. 50 x 50 ml,Potassium Chloride,,,2117448,B05XA01,BE098831,Laboratoires Sterop SA-NV,2025-01-01,2030-12-31,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440204,220159
BE,Belgium,FAMHP,Kali-Sterop 7.5 g/50 ml inf. opl. (conc.) i.v. flac. 50 ml,Potassium Chloride,,,2117455,B05XA01,BE098831,Laboratoires Sterop SA-NV,2025-01-01,2030-12-31,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440210,220159
BE,Belgium,FAMHP,Cimzia 200 mg (Abacus Medicine) inj. opl. s.c. voorgev. pen 2 x 1 ml Autoclicks,Certolizumab Pegol,,,4314332,L04AB05,EU/1/09/544/005,Abacus Medicine a.s.,2025-01-01,2026-12-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440216,137219
BE,Belgium,FAMHP,Cimzia 200 mg (Abacus Medicine) inj. opl. s.c. voorgev. spuit 2 x 1 ml,Certolizumab Pegol,,,4199360,L04AB05,EU/1/09/544/001,Abacus Medicine a.s.,2025-01-01,2026-12-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440221,92584
BE,Belgium,FAMHP,Kali-Sterop 1.5 g/10 ml inf. opl. (conc.) i.v. amp. 100 x 10 ml,Potassium Chloride,,,2075992,B05XA01,BE253461,Laboratoires Sterop SA-NV,2025-01-01,2030-12-31,,unavailable,Andere reden,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440228,62154
BE,Belgium,FAMHP,Kali-Sterop 1.5 g/10 ml inf. opl. (conc.) i.v. amp. 10 x 10 ml,Potassium Chloride,,,2075943,B05XA01,BE253461,Laboratoires Sterop SA-NV,2025-01-01,2030-12-31,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440233,62154
BE,Belgium,FAMHP,Fluvex 50 mg/ml inj. opl. i.m./i.v. flac. 250 ml,Flunixin,,,2735991,QM01AG90,BE-V370176,S.P. Veterinaria S.A.,2024-12-31,2026-12-31,,unavailable,Andere reden,-,2026-09-23T11:15:11.440239,
BE,Belgium,FAMHP,Fluvex 50 mg/ml inj. opl. i.m./i.v. flac. 100 ml,Flunixin,,,2735983,QM01AG90,BE-V370176,S.P. Veterinaria S.A.,2024-12-31,2026-12-31,,unavailable,Andere reden,-,2026-09-23T11:15:11.440245,
BE,Belgium,FAMHP,Quinoflox 100 mg/ml opl. voor drinkwater 5 l,Enrofloxacin,,,4907853,QJ01MA90,BE-V400434,Global Vet Health S.L.,2024-12-31,2026-12-31,,unavailable,Andere reden,-,2026-09-23T11:15:11.440251,
BE,Belgium,FAMHP,Mycoflor 200 mg/ml opl. voor drinkwater 1 l,Florfenicol,,,4887097,QJ01BA90,BE-V498631,S.P. Veterinaria S.A.,2024-12-31,2026-12-31,,unavailable,Andere reden,-,2026-09-23T11:15:11.440257,
BE,Belgium,FAMHP,ColiVet S inj. opl. i.m. flac. 100 ml,Colistin Sulfate,,,1206853,QJ01XB01,BE-V111483,Prodivet Pharmaceuticals SA-NV,2024-12-24,2027-08-31,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.440263,
BE,Belgium,FAMHP,Bupropion Teva 300 mg tabl. geregul. afgifte 90,Bupropion Hydrochloride,,,4135745,N06AX12,BE548355,Teva B.V.,2024-12-17,2026-11-09,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440269,82899
