country_code,country_name,source,product_no,medicine_name,atc_code,active_substance,package_size,strength,marketing_auth_holder,shortage_start,estimated_end,reason,notes,status,scraped_at,prk
GR,Greece,EOF,2803232503022,RXULTI F.C.TAB 1.0 MG/TAB BTx28 δισκία σε BLISTERS (PVC/Alu),N05AX16,BREXPIPRAZOLE,,,"OTSUKA PHARMACEUTICAL NETHERLANDS B.V., THE NETHERLANDS",2026-08-28,2026-09-30,Αυξημένη ζήτηση,Εναλλακτικά το ίδιο σκεύασμα με ξενόγλωσση συσκευασία,shortage,2026-09-23T20:59:51.530550,197467
GR,Greece,EOF,2803416401021,LADOSOLE CAPS 20MG/CAP BT X 28 (BLIST 4X7),N06AB03,FLUOXETINE HYDROCHLORIDE,,,"ΦΑΡΜΑΣΕΡΒ ΕΛΛΑΣ Α.Ε.Β.Ε., ΕΛΛΑΔΑ",2026-08-31,2026-09-15,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706459,28444
GR,Greece,EOF,2802706002016,LOPRAXER F.C.TAB 20MG/TAB BTx 28 (BLIST 2 x14),N06AB04,CITALOPRAM HYDROBROMIDE,,,"HELP Α.Β.Ε.Ε. , ΕΛΛΑΔΑ",2026-05-11,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706470,
GR,Greece,EOF,2802689202052,ZOLOTRIN F.C.TAB 100MG/TAB ΒΤ X 30 ΣΕ BLISTERS PVC/ALUMINIUM,N06AB06,SERTRALINE HYDROCHLORIDE,,,INNOVIS PHARMA A.E.B.E.,2025-06-30,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706477,39411
GR,Greece,EOF,2802689201055,ZOLOTRIN F.C.TAB 50MG/TAB ΒΤ X 30 ΣΕ BLISTERS PVC/ALUMINIUM,N06AB06,SERTRALINE HYDROCHLORIDE,,,INNOVIS PHARMA A.E.B.E.,2025-06-30,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706484,39403
GR,Greece,EOF,2803053504024,ESPOZA F.C.TAB 20MG/TAB BTx28 (ALU/ALU blister),N06AB10,ESCITALOPRAM OXALATE,,,INNOVIS PHARMA A.E.B.E.,2026-05-18,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706491,74977
GR,Greece,EOF,2803136802054,ESCITALOPRAM/MYLAN F.C.TAB 20MG/TAB BT x 30 TABS σε blisters (PVC/PVdC/Alu),N06AB10,ESCITALOPRAM OXALATE,,,"MYLAN PHARMACEUTICALS LIMITED, IRELAND",2026-07-15,2026-09-15,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706498,74977
GR,Greece,EOF,2803053504093,ESPOZA F.C.TAB 20MG/TAB BTx14 (ALU/ALU blister),N06AB10,ESCITALOPRAM OXALATE,,,INNOVIS PHARMA A.E.B.E.,2026-07-07,2026-12-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706505,74977
GR,Greece,EOF,2800972106025,TRITTICO PR.TAB 150MG/TAB BTx14 (PVC/PVDC/Al blister),N06AX05,TRAZODONE HYDROCHLORIDE,,,ANGELINI PHARMA HELLAS ABEE,2026-09-01,2026-10-15,Προβλήματα στην παραγωγική διαδικασία,Εναλλακτικά το ίδιο φάρμακο στην ίδια ή διαφορετική περιεκτικότητα με ξενόγλωσση συσκευασία,shortage,2026-09-23T20:59:51.706512,
GR,Greece,EOF,2800972107053,TRITTICO PR.TAB 300MG/TAB BTx30 (PVC/PVDC/Al blister),N06AX05,TRAZODONE HYDROCHLORIDE,,,ANGELINI PHARMA HELLAS ABEE,2026-09-01,2026-10-15,Καθυστέρηση παράδοσης,Εναλλακτικά το ίδιο φάρμακο με ξενόγλωσση συσκευασία,shortage,2026-09-23T20:59:51.706519,
GR,Greece,EOF,2802722202056,SEROSMINE PR.TAB 150MG/TAB BT x 30 σε BLISTERS (PVC/ACLAR/ALU FOIL),N06AX16,VENLAFAXINE HYDROCHLORIDE,,,ITF HELLAS S.A.,2026-06-17,2026-10-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706525,47538
GR,Greece,EOF,2802722201059,SEROSMINE PR.TAB 75MG/TAB BT x 30 σε BLISTERS (PVC/ACLAR/ALU FOIL),N06AX16,VENLAFAXINE HYDROCHLORIDE,,,ITF HELLAS S.A.,2026-06-17,2026-10-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706531,
GR,Greece,EOF,2802722203053,SEROSMINE PR.TAB 225MG/TAB BT x 30 σε BLISTERS (PVC/ACLAR/ALU FOIL),N06AX16,VENLAFAXINE HYDROCHLORIDE,,,ITF HELLAS S.A.,2026-06-17,2026-10-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής και μορφής, διαφορετικής περιεκτικότητας",shortage,2026-09-23T20:59:51.706538,96512
GR,Greece,EOF,2801188407012,ΝΟΟΤΡΟΠ F.C.TAB 1200MG/TAB BTx30(BLIST3x10),N06BX03,PIRACETAM,,,"ADVANZ PHARMA LIMITED, IRELAND",2026-07-01,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά το ίδιο φάρμακο σε διαφορετική μορφή ή άλλο σκεύασμα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706544,31186
GR,Greece,EOF,2802828502012,DEMENTIS F.C.TAB 10MG/TAB BTx 28 (BLIST 4x7),N06DA02,DONEPEZIL HYDROCHLORIDE,,,ELPEN AE ΦΑΡΜΑΚΕΥΤΙΚΗ ΒΙΟΜΗΧΑΝΙΑ,2026-07-13,2026-10-15,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706550,106550
GR,Greece,EOF,2803105902020,DONEPEZIL/MYLAN F.C.TAB 10MG/TAB BT x 28 (σε PVDC BLISTER),N06DA02,DONEPEZIL HYDROCHLORIDE,,,"MYLAN PHARMACEUTICALS LIMITED, IRELAND",2026-10-19,2027-04-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706556,106550
GR,Greece,EOF,2803028001367,MEMANTINE/SANDOZ F.C.TAB 10MG/TAB BTx28 (BLISTER PVC-PVDC/Aluminium),N06DX01,MEMANTINE HYDROCHLORIDE,,,"SANDOZ GMBH, KUNDL, AUSTRIA",2026-07-30,2026-09-21,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706563,66818
GR,Greece,EOF,2802620801023,CIDREN F.C.TAB 5MG/TAB BTx84 (BLIST 6x14),N07AX01,PILOCARPINE HYDROCHLORIDE,,,VOCATE ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-05-29,2026-10-05,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706569,57843
GR,Greece,EOF,2802249001033,"SALAGEN F.C.TAB 5MG/TAB, BTx84(BLISTER 6x14)",N07AX01,PILOCARPINE HYDROCHLORIDE,,,"MERUS LABS LUXCO II S.A.R.L., LUXEMBOURG",2026-11-15,2026-12-31,Αλλαγή ΚΑΚ,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706575,57843
GR,Greece,EOF,2803182601014,ATOVAQUONE/VOCATE ORAL.SUSP 750MG/5ML BTx1 bottle (HDPE) x250 ML,P01AX06,ATOVAQUONE,,,VOCATE ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-06-08,2026-12-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706581,47147
GR,Greece,EOF,2800055315016,"OTRIVIN (MOISTURISING FORMULA) NASPR.SOL (0,1% (W/V) BOTTLEX10ML ΜΕ ΨΕΚΑΣΤΉΡΑ",R01AA07,XYLOMETAZOLINE,,,"HALEON ΕΛΛΑΣ, ΕΛΛΑΔΑ",2025-06-05,2028-06-01,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706587,148741
GR,Greece,EOF,2803244101018,TIORESP® INH.PD.DOS 10MCG/DOSE BT X 1 ΣΥΣΚΕΥΗ ELPENHALER X 30 ΔΟΣΕΙΣ (ΣΥΣΚΕΥΑΣΙΑ 30 ΔΟΣΕΩΝ) + ΦΑΚΕΛΙΣΚΟ ΞΗΡΑΝΤΙΚΟΥ,R03BB04,TIOTROPIUM BROMIDE MONOHYDRATE,,,ELPEN AE ΦΑΡΜΑΚΕΥΤΙΚΗ ΒΙΟΜΗΧΑΝΙΑ,2026-05-18,2026-11-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής, μορφής και περιεκτικότητας. Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής και μορφής",shortage,2026-09-23T20:59:51.706593,
GR,Greece,EOF,2803336601013,TIOVIVO® INH.PD.DOS 10MCG/DOSE ΒΤ Χ 1 ΣΥΣΚΕΥΗ ELPENHALER ΜΕ 30 ΤΑΙΝΙΕΣ ΣΕ ΚΥΨΕΛΕΣ ΜΙΑΣ ΔΟΣΗΣ ΑΠΟ PAPER/PET/ALUMINIUM/PVC/ALUMINIUM/OPA ΚΑΙ ΣΥΣΚΕΥΑΖΕΤΑΙ ΣΕ ΘΗΚΗ ΑΠΟ PET/ALU/PE ΜΑΖΙ ΜΕ ΕΝΑ ΦΑΚΕΛΙΣΚΟ ΞΗΡΑΝΤΙΚΟΥ. ΣΥΣΚΕΥΑΣΙΑ 30 ΔΟΣΕΩΝ.,R03BB04,TIOTROPIUM BROMIDE MONOHYDRATE,,,DEMO ABEE,2026-07-29,2026-09-30,Αυξημένη ζήτηση,Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής και μορφής,shortage,2026-09-23T20:59:51.706599,
GR,Greece,EOF,2801928602011,IKOBEL EY.DRO.SOL 0.3% FLX5ML,S01AA12,TOBRAMYCIN,,,RAFARM A.E.B.E.,2026-07-17,2026-09-25,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.706605,
GR,Greece,EOF,2801989101010,"O-BIOTIC EY.DRO.SUS 0,3%+0,1% FLX5ML",S01CA01,"TOBRAMYCIN, DEXAMETHASONE",,,"ZWITTER PHARMACEUTICALS ΕΠΕ, GREECE",2026-04-06,2026-09-15,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",shortage,2026-09-23T20:59:51.706611,214957
GR,Greece,EOF,2801981601020,MIOCHOL-E P.S.I.I.U 1% W/V 1 VIAL+1 AMPx2 ML SOLV,S01EB09,ACETYLCHOLINE CHLORIDE,,,"DR.GERHARD MANN CHEM-PHARM. FABRIK G.M.B.H, GERMANY",2026-07-13,2026-10-31,Καθυστέρηση παράδοσης,Εισαγωγή μέσω ειδικών νοσοκομειακών παραγγελιών,shortage,2026-09-23T20:59:51.706618,23930
GR,Greece,EOF,2803194401015,KIVIZIDIALE EY.DRO.SOL (40MCG+5MG)/ML BTx1 Vial x 2.5 ml,S01ED51,"TIMOLOL MALEATE, TRAVOPROST",,,"BAUSCH + LOMB IRELAND LIMITED, IRELAND",2026-04-10,2026-11-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",shortage,2026-09-23T20:59:51.706625,212245
