country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,scraped_at
LV,Latvia,ZVA,Arisppa 10 mg tablets,Aripiprazolum,10 mg,30 pcs,N05AX12,15-0037-03,2017-05-24,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,Arisppa 15 mg tablets,Aripiprazolum,15 mg,28 pcs,N05AX12,15-0038-02,2021-12-22,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,Arisppa 15 mg tablets,Aripiprazolum,15 mg,30 pcs,N05AX12,15-0038-03,2019-07-01,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,"Arutimol 5 mg/ml eye drops, solution",Timololi maleas,25 mg/5 ml,1 pc,S01ED51,00-0007-01,2023-12-08,2028-01-03,shortage,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,ASA-Grindeks 500 mg tablets,Acidum acetylsalicylicum,500 mg,20 pcs,,05-0589-02,2022-03-28,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,Asacol 500 mg suppositories,Mesalazinum,500 mg,20 pcs,,04-0434-01,2025-10-01,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Ascophen P tablets,"Acidum acetylsalicylicum, Paracetamolum, Coffeinum",1 UD,10 pcs,N02BE01,98-0107-01,2020-08-13,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Asentra 100 mg film-coated tablets,Sertralinum,100 mg,28 pcs,,03-0281-01,2019-12-30,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Asolfena 10 mg film-coated tablets,Solifenacini succinas,10 mg,30 pcs,G04BD08,10-0654-02,2019-12-30,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Asolfena 5 mg film-coated tablets,Solifenacini succinas,5 mg,30 pcs,G04BD08,10-0655-02,2019-12-30,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Atgam 50 mg/ml concentrate for solution for infusion,Immunoglobulinum antithymocytorum ex equini ad usum humanum,5 ml,5 pcs,,22-0004-01,2025-12-01,2026-11-30,shortage,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Atimos 12 micrograms/actuation pressurised inhalation solution,Formoteroli fumaras dihydricus,12 µg/dose,100 pcs,R03AC13,07-0102-02,2018-10-01,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Atoris 10 mg film-coated tablets,Atorvastatinum,10 mg,30 pcs,C10AA05,03-0362-01,2025-08-21,,shortage - end date unknown,2026-03-12T15:53:44.754826
LV,Latvia,ZVA,Atoris 20 mg film-coated tablets,Atorvastatinum,20 mg,30 pcs,C10AA05,03-0363-01,2025-03-20,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atoris 40 mg film-coated tablets,Atorvastatinum,40 mg,30 pcs,C10AA05,05-0169-01,2025-12-16,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atoris 80 mg film-coated tablets,Atorvastatinum,80 mg,30 pcs,C10AA05,10-0607-01,2021-06-30,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atorvastatin TAD 40 mg film-coated tablets,Atorvastatinum,40 mg,30 pcs,C10AA05,12-0104-07,2025-12-16,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atorvastatin Zentiva 10 mg film-coated tablets,Atorvastatinum,10 mg,30 pcs,C10AA05,15-0051-06,2024-04-04,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atorvastatin Zentiva 20 mg film-coated tablets,Atorvastatinum,20 mg,90 pcs,C10AA05,15-0052-12,2025-08-20,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atorvastatin Zentiva 20 mg film-coated tablets,Atorvastatinum,20 mg,30 pcs,C10AA05,15-0052-06,2025-08-20,,shortage - end date unknown,2026-03-12T15:53:44.755869
LV,Latvia,ZVA,Atorvastatin Zentiva 40 mg film-coated tablets,Atorvastatinum,40 mg,30 pcs,C10AA05,15-0053-05,2025-08-20,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Atropine Sopharma 1 mg/ml solution for injection,Atropini sulfas,1 mg/1 ml,100 pcs,,05-0442-02,2018-03-20,,shortage - end date unknown,2026-03-12T15:53:44.756843
